date,WGT_ya_n,WGT_pa_n,WGT_oa_n
01-Jan-1997,2097077.582519531,17534586.93008423,2720386.279296875
01-Feb-1997,2186485.311767578,17739418.99230957,2576000.029541016
01-Mar-1997,2362310.9921875,17911733.64245605,2810427.197967529
01-Apr-1997,2187024.966918945,16708582.16357422,2565484.67980957
01-May-1997,2404664.339233398,17695974.01745605,2844619.013549805
01-Jun-1997,2587370.699829102,17139584.26409912,2393667.945678711
01-Jul-1997,3143052.823608398,18132182.92974854,2785885.392028809
01-Aug-1997,2753210.959197998,18478019.02749634,2511158.996520996
01-Sep-1997,2652977.849975586,17960109.89456177,2650136.910644531
01-Oct-1997,2417346.881713867,17900610.95834351,2378288.055786133
01-Nov-1997,2199650.092895508,17686653.28607178,2677556.807525635
01-Dec-1997,2363970.22644043,18281847.71643066,2574962.462524414
01-Jan-1998,2287186.322021484,18146485.18139648,3106236.81652832
01-Feb-1998,2487676.405395508,19105044.45285034,3026883.163391113
01-Mar-1998,2445720.656738281,18048511.32836914,2909603.002441406
01-Apr-1998,2138591.36907959,17918861.26443481,3038348.768737793
01-May-1998,2086777.599822998,17507431.82077026,2536345.692199707
01-Jun-1998,2774705.752929688,17105129.3609314,2612492.547302246
01-Jul-1998,2961416.423950195,16204224.70465088,2799392.086853027
01-Aug-1998,2959148.363525391,17761997.13381958,2669733.287353516
01-Sep-1998,2454798.978881836,17526901.16784668,2754069.760742188
01-Oct-1998,2057759.849731445,18054567.78570557,2893711.016052246
01-Nov-1998,2240034.926269531,17911226.71832275,2842470.395202637
01-Dec-1998,2300171.641113281,16375455.00799561,2380179.246582031
01-Jan-1999,2401064.848754883,16843342.2947998,2614642.601501465
01-Feb-1999,2480851.631469727,17000362.27789307,2727396.536499023
01-Mar-1999,2378065.264892578,17838356.00512695,2762494.332366943
01-Apr-1999,2241848.364624023,17176002.12194824,2585322.200073242
01-May-1999,2221279.404174805,16916874.97088623,2735725.262268066
01-Jun-1999,2768939.790588379,17047021.9375,2717765.219848633
01-Jul-1999,3049022.526794434,16029187.43322754,2710085.41418457
01-Aug-1999,2456511.473327637,16251831.74594116,2697513.822509766
01-Sep-1999,1969050.425964355,17310351.76071167,2778947.231933594
01-Oct-1999,2285868.723266602,16937346.66253662,3003985.357727051
01-Nov-1999,2514714.674072266,16971300.51501465,2766930.534301758
01-Dec-1999,2563657.006225586,17533103.57116699,3129425.575927734
01-Jan-2000,2225946.1875,16061453.67224121,2917826.051635742
01-Feb-2000,2169788.865478516,16421412.89813232,2761052.979858398
01-Mar-2000,2286845.653564453,17738832.71066284,3020131.783874512
01-Apr-2000,2073855.309448242,17040147.01364136,2655455.144287109
01-May-2000,2111005.829711914,15786969.70159912,2811687.620635986
01-Jun-2000,2171174.084228516,15368424.14703369,2440243.161682129
01-Jul-2000,2618097.874755859,15794759.10943604,2767510.186889648
01-Aug-2000,2564633.727172852,15162705.18493652,2485106.691894531
01-Sep-2000,1828287.14050293,16069201.88842773,2828989.271972656
01-Oct-2000,2085632.707519531,15629632.29003906,2809448.343566895
01-Nov-2000,1550507.074035645,15956165.56213379,2628999.364685059
01-Dec-2000,2171466.84777832,16823172.72473145,2636831.031066895
01-Jan-2001,2145711.084716797,17262433.26672363,3055374.882324219
01-Feb-2001,2199593.365356445,17010707.41668701,3113933.561431885
01-Mar-2001,2329282.686889648,18541387.86459351,2996232.545837402
01-Apr-2001,1952971.193481445,15485336.46374512,2916004.727539063
01-May-2001,1893492.588134766,16325360.58917236,2489385.064697266
01-Jun-2001,2040522.57409668,14906477.50341797,2567871.633666992
01-Jul-2001,2055853.820678711,12451893.70080566,2047135.149047852
