date,WGT_le,WGT_ae,WGT_de
01-Jan-1997,4.4340672,4.2559614,4.7290678
01-Feb-1997,4.6520014,5.0598001,4.0005302
01-Mar-1997,4.808619,3.8714538,5.6080694
01-Apr-1997,4.8892264,4.1964226,5.0027466
01-May-1997,4.434804,4.2820044,4.2820044
01-Jun-1997,5.0552268,4.2773356,5.6441288
01-Jul-1997,5.1587348,4.9367404,4.8790188
01-Aug-1997,4.2559614,4.9295287,4.9480042
01-Sep-1997,4.8790164,3.6039989,5.5568256
01-Oct-1997,4.7715425,5.4067221,5.1293292
01-Nov-1997,4.7252917,4.8137617,4.8790164
01-Dec-1997,4.709156,4.8337755,6.2520356
01-Jan-1998,4.8790164,2.6667476,5.3109827
01-Feb-1998,4.7923985,6.0624623,4.082202
01-Mar-1998,4.8790164,3.9220712,5.1293292
01-Apr-1998,5.8267665,4.6520014,4.8790164
01-May-1998,5.1293292,5.4648204,6.7820215
01-Jun-1998,5.3285236,6.4538608,6.4542809
01-Jul-1998,5.608726,3.7740328,6.0624623
01-Aug-1998,5.7393522,5.1293292,5.5434785
01-Sep-1998,4.6526632,4.2371368,6.45363
01-Oct-1998,4.7992806,4.8790164,6.4254351
01-Nov-1998,5.0693159,5.5569863,7.1786313
01-Dec-1998,5.5569863,5.1293292,5.2422047
01-Jan-1999,4.2787337,3.4728296,6.6120605
01-Feb-1999,5.0693088,4.0491362,6.8992872
01-Mar-1999,5.1055188,6.4538522,6.8990407
01-Apr-1999,4.6520014,5.1293292,5.8838711
01-May-1999,4.8790193,5.3786192,6.1875377
01-Jun-1999,4.6520014,4.8790164,5.9424558
01-Jul-1999,5.1293292,2.8419349,6.8990407
01-Aug-1999,4.6520014,4.8466206,5.1403661
01-Sep-1999,5.1304932,5.4067221,5.8417721
01-Oct-1999,5.5704479,4.2559614,6.0624623
01-Nov-1999,5.1293292,5.4067221,4.8796
01-Dec-1999,4.7790651,4.6520014,4.9282136
01-Jan-2000,4.879015,4.6520014,5.8249388
01-Feb-2000,4.8790121,4.879015,6.45363
01-Mar-2000,4.4451761,4.4451761,5.4067221
01-Apr-2000,5.5569887,4.6520014,5.5991235
01-May-2000,4.7346077,4.7790651,6.0888438
01-Jun-2000,5.5982609,6.3625736,5.1293283
01-Jul-2000,5.2710609,3.4288986,6.4542837
01-Aug-2000,5.1293292,4.8790164,5.5567799
01-Sep-2000,5.1293263,4.82021,6.3771892
01-Oct-2000,5.3540783,4.9790688,6.0616198
01-Nov-2000,5.4067221,6.1909962,6.0624623
01-Dec-2000,5.1293244,5.7158413,6.1204929
01-Jan-2001,5.237618,4.4451761,5.7817445
01-Feb-2001,5.6073108,5.3488684,5.4588218
01-Mar-2001,5.310986,5.7158413,4.8788304
01-Apr-2001,5.1293292,5.0772324,6.8992839
01-May-2001,4.5118651,6.6556239,6.0240068
01-Jun-2001,5.1293292,6.5355167,6.3058157
01-Jul-2001,5.0325084,5.4724879,6.2328253
01-Aug-2001,5.1278453,5.6089535,5.4065704
01-Sep-2001,4.6813183,7.4107971,4.3966742
01-Oct-2001,4.5985069,5.1293292,6.4538522
01-Nov-2001,4.7024913,6.0624623,5.6087284
01-Dec-2001,4.8780279,4.0821996,4.5460768
01-Jan-2002,4.6520014,5.9569321,4.6002169
01-Feb-2002,4.2559614,4.3711672,4.546083
01-Mar-2002,3.9220748,4.0821996,4.8790164
01-Apr-2002,3.8325136,4.8790164,4.4451761
01-May-2002,4.0821996,5.7210422,4.7367687
01-Jun-2002,3.7740328,5.32445,5.4067221
01-Jul-2002,3.5091319,4.7237272,4.5815816
01-Aug-2002,4.0821996,4.6520014,4.0814614
01-Sep-2002,3.8098531,3.3711026,3.0252063
01-Oct-2002,3.1350589,4.0827837,4.2558208
01-Nov-2002,2.6667273,3.9220738,3.9226024
01-Dec-2002,3.599946,5.3843203,2.8169794
01-Jan-2003,3.7740328,3.9845908,4.7765889
01-Feb-2003,3.7740328,3.4457855,3.9226077
01-Mar-2003,2.8987536,4.8203802,4.0005336
01-Apr-2003,3.4786084,3.2019813,4.0822001
01-May-2003,3.162554,4.9271049,4.8790164
01-Jun-2003,3.1748698,4.0078239,4.210988
01-Jul-2003,3.2789793,3.4668131,4.0920758
01-Aug-2003,2.9852962,3.9222612,4.0891275
01-Sep-2003,3.1146731,3.9370158,3.0188754
01-Oct-2003,3.4716468,3.2636936,3.7738817
01-Nov-2003,2.9852962,4.0320978,2.8200104
01-Dec-2003,2.9680362,4.8790188,3.3906381
01-Jan-2004,3.677923,3.8850849,3.125953
01-Feb-2004,3.0771658,4.7785354,3.9522183
01-Mar-2004,2.9852984,3.3901551,2.9766796
01-Apr-2004,3.1581492,3.3522692,3.3227162
01-May-2004,3.3364515,2.7218945,4.0820704
01-Jun-2004,2.9558821,2.9852962,3.2789824
01-Jul-2004,3.5091319,3.1748743,4.2365751
01-Aug-2004,3.5091319,3.2789824,3.9226024
01-Sep-2004,3.5091319,4.5382981,4.373733
01-Oct-2004,2.9948735,3.286972,4.0821996
01-Nov-2004,3.0771658,3.0778553,3.9220712
01-Dec-2004,2.4036586,3.9499843,3.9226077
01-Jan-2005,3.8839858,4.1232347,3.8739784
01-Feb-2005,3.2789824,3.9226024,3.0677569
01-Mar-2005,3.2092636,3.2260861,4.3485069
01-Apr-2005,3.0907571,4.6520014,3.9224336
01-May-2005,2.9852962,3.4147127,3.9220712
01-Jun-2005,3.5091319,2.3953218,5.4809914
01-Jul-2005,3.3901551,4.9271049,5.1293292
01-Aug-2005,3.7929828,4.2559614,3.7045827
01-Sep-2005,3.2789824,3.4191387,5.1293292
01-Oct-2005,4.0821996,3.9220712,4.0821996
01-Nov-2005,4.0967441,3.6367645,5.1291332
01-Dec-2005,4.017117,3.4944134,3.1956787
01-Jan-2006,3.8455589,3.7740328,4.5519543
01-Feb-2006,2.9912517,3.4853539,4.5460768
01-Mar-2006,3.7740328,4.1909389,4.0822043
01-Apr-2006,3.9220665,3.6367645,4.3170538
01-May-2006,3.3901551,3.6367645,4.0820446
01-Jun-2006,3.4938018,4.0821996,3.9229515
01-Jul-2006,3.923991,2.8220155,3.4510942
01-Aug-2006,3.923475,4.0821996,4.3485475
01-Sep-2006,3.6304004,4.6328335,4.4300499
01-Oct-2006,3.3901563,3.0719705,4.0823026
01-Nov-2006,4.1962652,3.7467391,5.1291437
01-Dec-2006,3.9916589,5.1951494,3.5091319
01-Jan-2007,4.0631609,3.0077426,5.6570373
01-Feb-2007,3.9431679,3.4868779,4.0820704
01-Mar-2007,4.5855436,3.8246841,5.6089468
01-Apr-2007,3.9220676,3.9229515,4.0821996
01-May-2007,3.5932033,4.6448007,4.6518245
01-Jun-2007,3.9220712,4.0824757,3.9520738
01-Jul-2007,4.0821996,3.9602304,6.0103455
01-Aug-2007,4.7772326,3.2789824,4.0821996
01-Sep-2007,4.2559614,4.2443051,4.8794765
01-Oct-2007,4.0820441,4.9912791,4.2558155
01-Nov-2007,3.9814174,4.6520014,5.2922401
01-Dec-2007,4.2559614,2.9602871,4.2740135
01-Jan-2008,3.5091319,3.602695,3.0046911
01-Feb-2008,4.0821977,5.0957108,4.5120435
01-Mar-2008,4.0021052,4.0821996,4.7830963
01-Apr-2008,3.6367631,5.4074883,5.7337837
01-May-2008,3.9786193,4.8790164,4.2565503
01-Jun-2008,4.2302308,4.7790651,3.7740328
01-Jul-2008,4.2265239,2.5975487,4.2559614
