date,WGT_le_n,WGT_ae_n,WGT_de_n
01-Jan-1997,13765991.20272827,2106971.47845459,6479088.110717773
01-Feb-1997,14115513.11566162,2228523.182250977,6157868.035705566
01-Mar-1997,14814469.69348145,2427151.996673584,5842850.142456055
01-Apr-1997,13771495.67822266,1870469.605834961,5819126.526245117
01-May-1997,14413976.22094727,2344340.939575195,6186940.209716797
01-Jun-1997,14385823.0748291,1950417.979492188,5784381.855285645
01-Jul-1997,15444390.78326416,2269277.075805664,6347453.286315918
01-Aug-1997,15878501.4803772,2081991.392974854,5781896.109863281
01-Sep-1997,14949555.88739014,1953935.441925049,6359733.325866699
01-Oct-1997,13957698.77389526,2171628.280395508,6566918.841552734
01-Nov-1997,14419432.71542358,2499236.722900391,5645190.748168945
01-Dec-1997,14668198.2947998,2216438.093383789,6336144.017211914
01-Jan-1998,15166931.11004639,2119998.554138184,6252978.655761719
01-Feb-1998,15065681.04571533,2637511.042938232,6916411.932983398
01-Mar-1998,14801675.94946289,2606669.178466797,5995489.859619141
01-Apr-1998,14457763.73748779,2400173.627166748,6237864.037597656
01-May-1998,14083222.35668945,2096299.092651367,5951033.663452148
01-Jun-1998,14480361.1607666,1934870.704620361,6077095.795776367
01-Jul-1998,14468729.41638184,2069908.74029541,5426395.058776855
01-Aug-1998,15211399.95657349,2159111.948486328,6020366.879638672
01-Sep-1998,14717522.2723999,2384050.666870117,5634196.968200684
01-Oct-1998,14322327.75299072,2243897.221496582,6439813.677001953
01-Nov-1998,14717123.45910645,2368395.495605469,5908213.085083008
01-Dec-1998,12851887.14709473,2380971.211486816,5822947.537109375
01-Jan-1999,13878562.55938721,1908605.724121094,6071881.461547852
01-Feb-1999,13742007.96820068,2172245.045898438,6294357.431762695
01-Mar-1999,14204990.94396973,2155540.717529297,6618383.940887451
01-Apr-1999,12965654.63415527,2403207.61340332,6634310.439086914
01-May-1999,14009456.49511719,2001534.987548828,5862888.154663086
01-Jun-1999,14434483.6697998,1958003.221679688,6141240.05645752
01-Jul-1999,13534210.18927002,2036108.921142578,6217976.263793945
01-Aug-1999,13715330.78536987,1907812.579833984,5782713.676574707
01-Sep-1999,13430098.59793091,2018545.879882813,6609704.940795898
01-Oct-1999,12832093.32281494,2368991.326171875,7026116.094543457
01-Nov-1999,13831832.45837402,2133375.108764648,6287738.15625
01-Dec-1999,13944693.05322266,2244470.423950195,7037022.676147461
01-Jan-2000,13051789.04553223,1900987.244873047,6252449.62097168
01-Feb-2000,13005665.50048828,2040529.135742188,6306060.10723877
01-Mar-2000,13696184.62649536,2263341.059875488,7086284.461730957
01-Apr-2000,12882671.27938843,2156732.755004883,6730053.432983398
01-May-2000,12601697.92733765,1853983.371337891,6253981.853271484
01-Jun-2000,12001273.59661865,1985209.850402832,5993357.945922852
01-Jul-2000,13223444.78741455,1966121.231567383,5990801.152099609
01-Aug-2000,12131477.12329102,2202481.376586914,5878487.104125977
01-Sep-2000,12363636.84191895,1959718.068359375,6403123.390625
