date,WGT_ms,WGT_ws
01-Jan-1997,4.2820044,4.7143359
01-Feb-1997,4.8790164,4.4451761
01-Mar-1997,4.488646,5.3191733
01-Apr-1997,5.220201,4.6454506
01-May-1997,4.434804,4.2676806
01-Jun-1997,4.8790154,5.5264726
01-Jul-1997,4.7510977,5.2750535
01-Aug-1997,4.7473254,4.6421542
01-Sep-1997,4.9202881,4.8790164
01-Oct-1997,4.879015,4.8790193
01-Nov-1997,5.0429072,4.5985069
01-Dec-1997,4.9272537,5.129283
01-Jan-1998,4.7346077,4.7259307
01-Feb-1998,4.5574431,4.6468716
01-Mar-1998,4.6280732,4.9354687
01-Apr-1998,5.1304932,5.5350094
01-May-1998,5.4067221,5.5266352
01-Jun-1998,5.7158413,5.7631044
01-Jul-1998,5.7156386,5.3740978
01-Aug-1998,5.7326474,5.4808249
01-Sep-1998,5.1293292,4.8790164
01-Oct-1998,5.050684,5.4067221
01-Nov-1998,5.334414,5.6084924
01-Dec-1998,5.1293292,5.564496
01-Jan-1999,4.8790169,4.6997213
01-Feb-1999,5.7417603,4.8790164
01-Mar-1999,6.1875405,5.4067221
01-Apr-1999,5.1293292,4.9020133
01-May-1999,6.0624623,4.8788319
01-Jun-1999,5.2922401,4.6520014
01-Jul-1999,5.2643733,5.1293292
01-Aug-1999,5.2185755,4.4568338
01-Sep-1999,5.4067221,5.3502626
01-Oct-1999,5.7473717,5.3204041
01-Nov-1999,5.4065604,4.9071822
01-Dec-1999,4.9282136,4.7626286
01-Jan-2000,5.2660584,4.8790164
01-Feb-2000,5.4074883,4.8790183
01-Mar-2000,4.8790164,4.6940064
01-Apr-2000,6.4538522,4.6189423
01-May-2000,3.9239049,6.393168
01-Jun-2000,5.6087284,5.2863507
01-Jul-2000,5.3860326,5.4658413
01-Aug-2000,4.8790164,5.7158413
01-Sep-2000,5.5569849,5.1293292
01-Oct-2000,6.4538522,4.7790699
01-Nov-2000,5.8974056,5.608726
01-Dec-2000,5.608726,5.2125735
01-Jan-2001,4.8790979,5.6077809
01-Feb-2001,5.6088834,5.4067221
01-Mar-2001,5.1959753,5.2446461
01-Apr-2001,5.1291513,6.0882254
01-May-2001,5.0430856,4.9190278
01-Jun-2001,5.7154222,5.6695328
01-Jul-2001,5.6721544,5.0010419
01-Aug-2001,4.6518335,5.7158413
01-Sep-2001,4.6813183,4.8790164
01-Oct-2001,5.129333,5.1293292
01-Nov-2001,5.3107915,4.8273039
01-Dec-2001,4.4451761,4.8790145
01-Jan-2002,4.5815816,4.976151
01-Feb-2002,3.3790345,5.1291456
01-Mar-2002,3.9220712,4.6604528
01-Apr-2002,4.2778873,4.000411
01-May-2002,4.1437206,4.6520014
01-Jun-2002,3.9226024,4.6043921
01-Jul-2002,3.874084,3.9238114
01-Aug-2002,4.5120435,4.0505342
01-Sep-2002,3.0860665,3.9226024
01-Oct-2002,3.1205392,3.923475
01-Nov-2002,2.7233198,3.5091319
01-Dec-2002,3.4659748,3.9220755
01-Jan-2003,3.9229486,3.9226024
01-Feb-2003,3.7740328,3.7740328
01-Mar-2003,2.7028646,3.6807506
01-Apr-2003,3.9220712,3.3901551
01-May-2003,3.6367645,4.0822024
01-Jun-2003,3.5091319,3.6367645
01-Jul-2003,3.7738853,3.6366274
01-Aug-2003,3.2597237,3.6367645
01-Sep-2003,2.9393356,3.5091319
01-Oct-2003,3.1748698,3.7686949
01-Nov-2003,2.5729253,3.3901551
01-Dec-2003,3.0273073,3.3075261
01-Jan-2004,3.5147355,3.6823609
01-Feb-2004,3.6318696,3.2788603
01-Mar-2004,2.9558821,3.2131248
01-Apr-2004,3.3227162,3.1090674
01-May-2004,3.82305,3.2410214
01-Jun-2004,2.3065298,3.5718083
01-Jul-2004,3.4401464,3.9373226
01-Aug-2004,3.5996597,3.6367645
01-Sep-2004,4.6520014,3.4887226
01-Oct-2004,3.6448059,3.1869166
01-Nov-2004,2.8875942,3.9220712
01-Dec-2004,2.955735,3.1605308
01-Jan-2005,4.879015,3.3096244
01-Feb-2005,3.6469712,3.0677569
01-Mar-2005,3.5091343,3.677923
01-Apr-2005,3.3900275,3.7041278
01-May-2005,3.5876219,3.3006296
01-Jun-2005,4.0821996,3.6367645
01-Jul-2005,4.6520014,3.8088841
01-Aug-2005,3.7740328,3.9130991
01-Sep-2005,4.335043,3.2789843
01-Oct-2005,4.3801055,3.9226024
01-Nov-2005,4.082202,4.5699434
01-Dec-2005,3.2789793,3.9222655
01-Jan-2006,3.9414024,3.9674585
01-Feb-2006,3.4687812,3.2789824
01-Mar-2006,3.9220738,3.9773624
01-Apr-2006,4.4451761,3.6367645
01-May-2006,3.946538,3.0860665
01-Jun-2006,3.4458299,3.923475
01-Jul-2006,3.9220712,3.6367645
01-Aug-2006,4.4451761,3.9220712
01-Sep-2006,3.9220712,4.0288506
01-Oct-2006,3.9220712,3.3901551
01-Nov-2006,4.0094442,4.8790164
01-Dec-2006,4.6520004,3.5091319
01-Jan-2007,5.1293292,3.5899537
01-Feb-2007,3.9220712,3.9221759
01-Mar-2007,4.8790164,4.5205503
01-Apr-2007,4.0821958,3.9220676
01-May-2007,3.9220712,3.9220712
01-Jun-2007,3.7740328,4.4016843
01-Jul-2007,4.9188399,4.6143031
01-Aug-2007,4.0085583,4.5809493
01-Sep-2007,4.8790164,4.3689795
01-Oct-2007,4.9274268,3.8466282
01-Nov-2007,4.7402253,3.9644775
01-Dec-2007,3.9224277,4.0820532
01-Jan-2008,3.9844446,2.8987536
01-Feb-2008,4.0821996,4.5610499
01-Mar-2008,3.8735468,4.7346077
01-Apr-2008,4.8790164,3.8282151
01-May-2008,4.1335392,4.2565503
01-Jun-2008,4.0974088,4.0821996
01-Jul-2008,4.2562494,3.8794622
01-Aug-2008,3.9335003,3.8785961
01-Sep-2008,3.9187951,3.9220712
01-Oct-2008,3.9226077,3.8226373
01-Nov-2008,3.7517321,3.6813972
01-Dec-2008,3.4885871,3.2788711
01-Jan-2009,3.6366274,2.9652455
01-Feb-2009,2.7402954,3.2789824
01-Mar-2009,2.5317807,3.6469712
01-Apr-2009,2.8367689,3.0771658
01-May-2009,2.9854982,3.9231775
01-Jun-2009,1.390292,2.9927685
01-Jul-2009,2.4450719,2.9558806
01-Aug-2009,.99541491,1.5848193
01-Sep-2009,2.2195771,2.5212855
01-Oct-2009,1.8691447,2.5317807
01-Nov-2009,2.1978908,1.9047406
01-Dec-2009,1.2959098,.53991413
01-Jan-2010,.99323303,2.4863136
01-Feb-2010,1.487192,2.495095
01-Mar-2010,2.6316464,.57678676
01-Apr-2010,0,2.4692612
01-May-2010,1.4977105,.97245252
01-Jun-2010,1.801846,2.1978908
01-Jul-2010,1.8843069,1.8018489
01-Aug-2010,.9419198,2.5047901
01-Sep-2010,1.4042392,2.0202703
01-Oct-2010,1.0470923,.53244716
01-Nov-2010,1.7699577,1.6168983
01-Dec-2010,1.242252,2.0145559
01-Jan-2011,1.45988,2.1622546
01-Feb-2011,1.6169459,1.9179519
01-Mar-2011,1.4388738,1.6997534
01-Apr-2011,2.3179231,1.5113664
01-May-2011,2.8987536,1.484479
01-Jun-2011,2.1852393,.9571141
