date,WGT_ms_n,WGT_ws_n
01-Jan-1997,11032463.65185547,11319587.14004517
01-Feb-1997,10953746.21929932,11548158.11431885
01-Mar-1997,11642940.69787598,11441531.13473511
01-Apr-1997,10940905.65490723,10520186.15539551
01-May-1997,11934391.63562012,11010865.73461914
01-Jun-1997,11549684.2177124,10570938.69189453
01-Jul-1997,11901884.58447266,12159236.56091309
01-Aug-1997,11942852.39779663,11799536.5854187
01-Sep-1997,11573611.49667358,11689613.1585083
01-Oct-1997,11175925.03125,11520320.86459351
01-Nov-1997,11255326.77661133,11308533.40988159
01-Dec-1997,11742271.78533936,11478508.62005615
01-Jan-1998,11634518.58575439,11905389.73419189
01-Feb-1998,12365411.12399292,12254192.89764404
01-Mar-1998,11572761.87158203,11831073.1159668
01-Apr-1998,11402592.82800293,11693208.57424927
01-May-1998,11079557.71179199,11050997.40100098
01-Jun-1998,11452978.06912231,11039349.59204102
01-Jul-1998,11435993.01678467,10529040.19866943
01-Aug-1998,11991811.53967285,11399067.24502563
01-Sep-1998,11658933.27130127,11076836.63616943
01-Oct-1998,11706828.00970459,11299210.64178467
01-Nov-1998,11514004.0657959,11479727.97399902
01-Dec-1998,10745973.66101074,10309832.23468018
01-Jan-1999,10897552.7119751,10961497.03308105
01-Feb-1999,11182117.5401001,11026492.90576172
01-Mar-1999,11743072.25619507,11235843.34619141
01-Apr-1999,11048251.24621582,10954921.44042969
01-May-1999,11296663.6842041,10577215.953125
01-Jun-1999,11513526.32824707,11020200.61968994
01-Jul-1999,10979867.95916748,10808427.41503906
01-Aug-1999,11110041.09283447,10295815.94894409
01-Sep-1999,10932645.79959106,11125703.61901855
01-Oct-1999,11252986.67822266,10974214.06530762
01-Nov-1999,11026417.80273438,11226527.9206543
01-Dec-1999,11304281.60180664,11921904.55151367
01-Jan-2000,10241844.58856201,10963381.32281494
01-Feb-2000,10437200.82696533,10915053.91650391
01-Mar-2000,11480226.50650024,11565583.64160156
01-Apr-2000,11021327.10510254,10748130.36227417
01-May-2000,10379784.6204834,10329878.53146362
01-Jun-2000,9965623.142272949,10014218.25067139
01-Jul-2000,10906109.34667969,10274257.82440186
01-Aug-2000,10296294.19116211,9916151.412841797
01-Sep-2000,10374044.73657227,10352433.56433105
01-Oct-2000,10336851.05389404,10187862.28723145
01-Nov-2000,9914147.090270996,10221524.9105835
01-Dec-2000,10569280.91412354,11062189.68945313
01-Jan-2001,11069702.88708496,11393816.34667969
01-Feb-2001,11552813.97338867,10771420.37008667
01-Mar-2001,12025814.88442993,11841088.21289063
01-Apr-2001,10367269.32116699,9987043.063598633
01-May-2001,10605298.56170654,10102939.68029785
01-Jun-2001,10037298.02752686,9477573.683654785
