date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
20-Mar-1961,2.8170483,5.9023905,7.2938843,1.5403495,6.7114887,6.4434524,4.8556156
21-Mar-1961,8.0105152,6.0212116,6.1880054,6.0496759,5.0447559,7.3127542,4.9511008
22-Mar-1961,3.5113437,5.6846714,9.6029682,9.6800079,5.1806679,5.2865844,5.0222631
23-Mar-1961,8.6270247,6.6685214,7.7231336,7.1399632,7.4671006,1.7515266,5.8066087
24-Mar-1961,7.0784302,3.5864668,8.175684,3.2897871,8.1062212,8.7247076,3.7386529
25-Mar-1961,7.2623796,7.1446247,7.5993218,4.1702247,5.5899134,6.408474,6.7818961
26-Mar-1961,5.0872664,5.4654484,7.1893997,9.1435728,9.5990238,4.6409717,7.3740807
27-Mar-1961,6.4004912,5.9073029,8.7025299,7.3300138,5.9155178,8.6887674,7.6196365
28-Mar-1961,7.4365211,5.2660251,6.1352887,9.4289618,5.1817632,4.9442372,6.7684574
29-Mar-1961,4.6919374,6.4365368,8.6988964,-.87769985,5.3271198,8.1207323,7.1735044
30-Mar-1961,10.186068,4.2065659,8.2703943,6.9009967,6.5288301,4.5454702,4.7257562
31-Mar-1961,11.790795,6.6742373,7.9818974,4.4983153,8.0422277,7.1480637,5.723403
01-Apr-1961,9.5681677,7.4453435,10.570995,9.1491966,6.6720772,1.4973873,4.9922872
02-Apr-1961,8.153513,4.7486663,6.7500339,7.8490191,7.8297071,1.9449193,6.2175541
03-Apr-1961,5.3136663,3.7426684,6.9897561,8.0052919,6.2851896,8.5242701,4.9549441
04-Apr-1961,4.7676868,5.8983765,7.9719944,4.0292454,7.4402914,7.6380544,5.6790991
05-Apr-1961,7.8887582,5.3421235,8.4295082,3.1029937,7.8012886,6.5134764,9.2721663
06-Apr-1961,6.2923994,8.4574518,8.9141035,7.3946381,6.7584014,7.8104215,5.0513597
07-Apr-1961,9.0302696,7.2320218,7.9185748,3.3275785,9.1353445,8.795249,6.7589197
08-Apr-1961,12.825213,7.9357843,8.4411297,8.5093374,6.864316,7.8735275,9.0911694
09-Apr-1961,8.4106054,6.232687,11.54666,3.686146,5.8650641,8.621459,6.0527568
10-Apr-1961,8.3776331,5.7781019,9.3443203,3.4497542,5.2846856,9.2363462,6.4867907
11-Apr-1961,8.8225718,9.2010336,9.2056036,8.2002335,5.8224678,9.6620007,6.5423346
12-Apr-1961,6.8537583,5.0236015,8.594223,1.1224525,6.4418602,5.2821927,5.3347483
