date_monthly,WGT_cmi_n,WGT_ehi_n,WGT_fpi_n,WGT_lhi_n,WGT_mni_n,WGT_pai_n,WGT_tti_n
20-Mar-1961,925943.7553100586,5241153.39630127,3626562.295532227,2300660.578979492,4278675.151245117,1444353.018585205,4496743.489501953
21-Mar-1961,1048747.685791016,5532727.496459961,3788056.883422852,2206525.055908203,3709733.497314453,1415832.473999023,4751140.710449219
22-Mar-1961,1181633.223754883,5172528.796844482,3480975.823730469,2241257.924438477,4891408.827270508,1158348.985107422,4852852.380126953
23-Mar-1961,1258872.309570313,5133247.982788086,3619753.04284668,1970753.620361328,3863190.026245117,1249379.931518555,4282352.359863281
24-Mar-1961,1315195.124023438,5697930.954833984,3613359.965820313,2428676.703491211,3961681.428955078,1082502.73425293,4785284.427978516
25-Mar-1961,1196817.799926758,4914249.418823242,3719564.434814453,2337549.417724609,4169861.374023438,1157175.959411621,4495477.964233398
26-Mar-1961,1256450.392456055,5049726.760864258,3840793.231689453,2842328.003662109,4411790.504516602,1363012.135498047,5240944.247192383
27-Mar-1961,1316629.197906494,5214142.744995117,3847594.17565918,2575587.770385742,4210229.678344727,1295225.213592529,5236821.514587402
28-Mar-1961,1214236.102661133,5270479.942169189,4291357.785522461,2252115.316223145,4085838.728637695,1547048.326049805,4486826.274658203
29-Mar-1961,1259137.100097656,5496375.840332031,3894608.892150879,2028288.893920898,3538975.027709961,1370653.634979248,5065307.415100098
30-Mar-1961,1470695.782226563,5059377.045349121,3656950.804321289,2370005.413360596,4174952.073364258,1327629.383789063,4417621.438476563
31-Mar-1961,1004867.259887695,5733734.752716064,3864774.43762207,2187720.840209961,3734455.046722412,1251615.966796875,5373854.488525391
01-Apr-1961,1220403.686706543,5561410.081542969,3600131.395751953,2541811.928955078,4351545.469970703,1451399.292114258,4758586.130554199
02-Apr-1961,1238119.621765137,5963714.28503418,4065439.579803467,2369202.593017578,4543010.743774414,1465834.370361328,4924448.965209961
03-Apr-1961,1099214.623291016,5728606.270874023,3860659.454589844,2227534.420654297,4400434.61315918,1296945.801513672,4727078.491455078
04-Apr-1961,1007531.877441406,5519904.951019287,3817364.663818359,2517926.696716309,4125160.954101563,1348360.87677002,4720726.301330566
05-Apr-1961,1371032.91015625,4632233.583312988,3847296.009521484,2184087.597869873,3943480.897094727,1190006.367553711,4938688.354217529
06-Apr-1961,1357554.756164551,4719330.977844238,3647477.723876953,2618622.065917969,3768802.831481934,1351680.418762207,4909452.577148438
07-Apr-1961,1428836.204345703,4476847.206848145,3764843.680541992,2106266.354675293,3971644.946533203,1231062.636108398,4893255.418395996
08-Apr-1961,1315619.114868164,5027390.878326416,3926853.690063477,2408303.426696777,4470633.729370117,1412582.947509766,4753665.690124512
09-Apr-1961,1351049.900390625,5306684.36920166,3373429.494628906,2660757.377197266,4153066.21673584,1243644.002624512,4575558.068786621
10-Apr-1961,1125923.986694336,5126774.531921387,4138176.715698242,2195878.057739258,4548951.383422852,1296902.536987305,4499106.678222656
11-Apr-1961,1186281.278625488,5358101.29864502,3617959.782348633,2270639.066040039,4174700.518188477,1239060.882019043,5103650.405395508
12-Apr-1961,1110518.162963867,4920474.000671387,3463136.946777344,2198920.991088867,3793671.85534668,1070872.029052734,4452277.069458008
13-Apr-1961,1058745.387145996,4976024.762939453,3709737.193847656,2128909.971496582,4043333.805480957,1250494.57043457,4630118.280639648
