date,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
1-Jan-83,6.4538522,6.8992915,8.9948215,2.9413927,6.187542,6.0829587,6.0146232
1-Feb-83,3.8419111,6.7252269,6.8181548,4.3802652,5.8268943,6.8834548,5.5059757
1-Mar-83,6.7907972,6.1875443,6.9843607,2.1978886,5.7158408,7.4107971,4.3802652
1-Apr-83,5.7158413,6.8992872,6.8992872,0,4.9439678,6.9886146,5.0552268
1-May-83,6.6249385,6.3178911,6.7658648,3.6663949,5.9023356,5.7708263,4.4511719
1-Jun-83,4.8790188,6.7259769,7.006752,2.8987508,4.4451752,8.570652,5.7158413
1-Jul-83,4.8790188,6.7208748,6.8992887,2.5859663,6.5957904,5.9982729,6.0624623
1-Aug-83,4.8790164,6.4538522,6.353807,2.9413927,3.9220712,6.8992872,4.0821977
1-Sep-83,6.0624623,4.741889,7.1495957,1.4815142,5.7629099,4.6091104,4.4451718
1-Oct-83,4.8790231,6.4538555,7.796154,2.0834067,6.1291742,5.3044181,4.4895301
1-Nov-83,3.5091319,5.715836,6.8992872,3.9220712,5.9242887,5.406724,5.6427927
1-Dec-83,6.8992872,5.1293292,6.0624623,4.8790188,5.1293306,4.2699466,5.6352949
1-Jan-84,4.0101604,5.9830956,7.8295341,0,5.1293292,5.1293292,4.8790121
1-Feb-84,4.2559614,5.0124407,7.3389287,4.0821996,5.4927034,6.0624623,5.7158413
1-Mar-84,6.4538522,6.4538522,7.696104,5.4067245,5.4635382,5.3244514,4.7790632
1-Apr-84,6.6081634,5.82689,5.4067245,2.8987508,5.4067221,5.4334273,4.913269
1-May-84,4.1515355,5.1293292,6.8309608,2.8170891,5.9440227,6.0624623,5.9719248
1-Jun-84,5.4067221,6.0624623,7.3082843,2.8573346,6.1998339,6.8992872,4.6043935
1-Jul-84,4.5423207,5.7158413,6.4538493,2.9413927,4.3802652,4.785605,4.9515095
1-Aug-84,7.0574956,6.7939157,6.5892076,3.9220676,5.4067221,8.0042706,5.3345928
1-Sep-84,6.2957873,5.8840499,6.4538522,3.2373948,6.0624623,4.4451761,4.8790193
1-Oct-84,5.1293292,5.1782699,7.991962,1.5684839,5.7158413,8.0280857,4.2559614
1-Nov-84,6.0624623,5.9354267,7.3869886,2.8911316,5.3345928,7.6540079,5.129333
1-Dec-84,5.0552268,6.3249016,7.0951734,3.9220676,6.0168538,4.2966018,4.3802652
1-Jan-85,7.3122292,4.8790164,6.5911193,2.9558821,5.4361224,5.720448,6.0624623
1-Feb-85,8.961216,5.6695328,6.8467841,4.2559614,5.9075418,7.0951781,4.6520014
1-Mar-85,4.0821996,5.8268943,5.8335543,4.8790164,6.0624623,6.29847,5.0010443
1-Apr-85,4.6520014,4.2436504,6.4242249,4.082202,4.6520081,8.0322361,5.9033508
1-May-85,6.8992872,6.4538503,7.2320662,1.1049861,5.0677552,5.6306286,5.1293292
1-Jun-85,6.7547612,5.6570296,7.006752,1.4815142,5.4067221,6.5032501,5.2992544
1-Jul-85,,,,,,,
1-Aug-85,,,,,,,
1-Sep-85,,,,,,,
1-Oct-85,,,,,,,
1-Nov-85,,,,,,,
1-Dec-85,,,,,,,
1-Jan-86,,,,,,,
1-Feb-86,,,,,,,
1-Mar-86,,,,,,,
1-Apr-86,,,,,,,
1-May-86,,,,,,,
1-Jun-86,,,,,,,
1-Jul-86,,,,,,,
1-Aug-86,,,,,,,
1-Sep-86,,,,,,,
1-Oct-86,3.6367645,5.3725424,5.7629099,2.817085,4.4451761,3.4456515,5.1293306
1-Nov-86,3.5789092,5.5569797,6.8992872,2.4692628,4.8790121,4.0391784,3.8714538
1-Dec-86,6.4538522,5.6887407,5.8268905,4.082202,3.7740328,4.3802652,4.9533906
1-Jan-87,2.9270308,5.7158413,7.4107971,4.0821958,4.8790116,8.7011375,4.2469187
1-Feb-87,2.2472856,5.7569795,7.3427486,2.9413927,4.3802652,5.0010419,4.8202133
1-Mar-87,4.2559614,6.6139832,6.4451833,0,4.015409,6.4538522,4.4451761
1-Apr-87,4.8858342,5.8778334,8.0042706,2.9806063,3.2273548,5.7158413,5.1293306
1-May-87,4.2559614,5.6695428,5.7158413,1.3245214,4.4328609,6.689424,4.3802652
1-Jun-87,7.4107971,5.7158413,6.4538522,4.0822024,3.7740328,4.2559595,4.082202
1-Jul-87,4.335043,5.6816521,6.8992872,0.75471771,3.6813972,4.4874954,4.2559576
1-Aug-87,5.0612183,5.806376,7.8494005,2.8573346,3.7271359,8.6177721,4.5120435
1-Sep-87,4.517385,5.5110364,5.439405,4.3802652,4.473588,6.765862,4.7252917
1-Oct-87,2.5349877,5.4067211,6.5427771,4.3802652,4.2559614,3.2002649,3.358274
1-Nov-87,6.0624623,5.6833472,5.1293263,3.9220712,5.2588348,4.0821996,5.4067221
1-Dec-87,4.0821996,5.3425164,7.8252172,3.2009997,4.1964226,6.4538536,4.8377204
1-Jan-88,3.2789824,4.6956983,8.0042706,1.3605639,3.9220712,5.3400826,5.1293292
1-Feb-88,4.879015,4.7346077,5.3346009,4.8790164,4.6823945,3.9872353,5.0010371
1-Mar-88,4.8790164,6.1875405,6.8992872,4.8790164,4.2559614,5.0167289,5.7158413
1-Apr-88,3.2789824,5.8335605,7.2320704,3.3039885,5.1293292,6.8992872,4.8790164
1-May-88,4.8790164,4.2559614,6.1243601,0,4.8119235,5.2079124,5.4067221
1-Jun-88,3.9326346,7.0587311,6.8992872,6.4538522,4.5426831,7.6961079,5.4808249
1-Jul-88,5.1293292,6.7600121,6.8992872,6.7505894,4.7047,1.9802608,4.9620371
1-Aug-88,8.0042706,5.1293311,4.6520014,0,4.1806693,7.4388995,4.5641274
1-Sep-88,8.0042706,6.1274924,6.5493355,2.817085,4.9159279,2.7615173,4.0821996
1-Oct-88,4.0821996,6.7708998,5.5059724,4.8790164,4.5491915,6.2800884,4.7628117
1-Nov-88,2.5056591,5.3928304,7.4107971,4.1964226,4.8790145,4.8790135,6.4538522
1-Dec-88,4.8790174,6.0624623,7.2320662,4.082202,3.959965,3.7622015,4.9271049
1-Jan-89,4.8790121,6.3396292,8.0042706,3.9220712,4.3350449,5.4827528,5.8268886
1-Feb-89,4.6618567,6.8992872,5.9088902,3.9665301,4.934051,7.3219681,5.1293292
1-Mar-89,6.0624623,6.4538555,4.6520014,5.8840513,3.9299107,6.2821102,6.3994913
1-Apr-89,8.7011375,6.8992872,8.7011385,3.711762,4.2559614,5.9750037,5.9551015
1-May-89,3.8151786,6.5624866,5.3488717,6.0624623,4.7628074,7.9552603,4.8094749
1-Jun-89,4.9507432,7.2570686,8.6177664,8.7011375,3.6404665,4.8790202,4.4282036
1-Jul-89,6.2782059,5.5569863,8.0042706,7.3869853,4.7856002,7.8117733,5.4067206
1-Aug-89,5.4067245,5.3109832,6.5382733,5.153367,5.4067221,7.9043193,5.1293292
1-Sep-89,7.4107943,6.4538522,5.7158413,5.7158413,4.8650465,6.0960722,5.1293306
1-Oct-89,5.3007808,7.4107971,8.9888239,4.8790164,4.916904,6.050498,5.5262737
1-Nov-89,6.1118755,6.3537998,7.2570705,3.8929853,4.3821402,6.5862942,5.7158413
1-Dec-89,4.6189356,6.797296,7.0965753,4.0821996,4.751483,4.6201558,5.4588213
1-Jan-90,4.0821996,6.1875401,7.2058744,2.6317313,4.3660932,5.4105201,6.6489763
1-Feb-90,4.4451761,5.9357162,7.0235853,0.2724787,4.5828495,4.8790202,6.5751357
1-Mar-90,7.3843045,6.7960072,5.7569866,3.774035,5.370419,6.9989705,5.4067221
1-Apr-90,4.0821996,6.2657027,7.6036673,4.5256591,4.5568066,6.2502074,5.7158389
1-May-90,6.0624623,6.378006,5.798727,4.8790188,4.1869712,7.4107985,5.7158413
1-Jun-90,5.593996,5.8661942,6.8992872,6.0624623,6.2520375,7.8162374,5.4067245
1-Jul-90,5.8268943,6.453855,7.9373574,5.7158413,4.6933141,5.1293292,6.4538522
1-Aug-90,2.7047825,6.4538484,6.4538522,4.3802652,5.1293292,6.9727011,6.0624623
1-Sep-90,3.6701419,6.4538522,7.796154,4.8790164,4.4735942,7.1095943,5.4808249
1-Oct-90,5.0010419,6.4538522,6.3221855,6.2035403,5.0395498,7.150723,3.9644794
1-Nov-90,3.0637002,6.8992872,5.6695342,4.0821996,5.4394073,4.8790164,5.7158413
1-Dec-90,3.5091319,6.1890783,5.7158413,4.8790164,4.8790164,6.8180327,5.818192
1-Jan-91,6.0624623,7.4107971,6.8519959,4.4451761,4.3759999,6.7505836,4.5660114
1-Feb-91,4.9075274,6.0624623,5.7158413,5.4067221,4.3823256,5.9898119,6.0624623
1-Mar-91,2.817085,5.9525962,5.1183829,6.4538522,4.5746036,5.2863507,5.6089501
1-Apr-91,4.445179,6.0624623,6.0624623,4.0821996,4.7088032,7.6613979,4.8790164
1-May-91,3.2789824,6.7875414,4.2559614,6.5514631,4.0822039,6.2613549,4.6520052
1-Jun-91,2.166151,6.8992872,6.4538522,6.0624623,3.9665301,4.8790164,6.8992872
1-Jul-91,2.9852962,5.1941457,5.9126182,6.0624623,4.7913423,4.8790131,5.7158413
1-Aug-91,4.8790164,6.6667485,5.5059776,6.0624623,4.0821996,5.9890542,5.699265
1-Sep-91,4.8790164,7.4891095,4.879015,6.0624623,4.6520014,6.8992872,3.0305321
1-Oct-91,2.0159891,4.9152193,4.8790164,4.0821996,5.1461849,7.1138778,5.2299514
1-Nov-91,3.0771658,6.0624623,6.0624623,4.6520038,3.8538013,6.0624623,4.8790164
1-Dec-91,4.6520014,5.6089463,5.7893953,1.8958008,4.0821996,4.4300232,4.362061
1-Jan-92,2.6668248,6.0624623,4.7067509,5.7158413,4.0005336,4.2420692,4.5895104
1-Feb-92,4.4451761,4.7252917,4.8790193,4.5736003,3.5091319,5.3540783,4.0821996
1-Mar-92,2.5317807,4.8790164,3.51474,4.8790164,4.5809517,5.4067221,3.8027396
1-Apr-92,1.1834458,5.4353981,4.0821996,1.6807102,2.2472847,5.5569849,2.9852951
1-May-92,0,5.2346506,4.0821996,3.3901575,3.7862825,4.082201,4.1385226
1-Jun-92,4.8741598,4.822979,3.1252513,2.3256841,3.4045808,6.8992872,5.4724879
1-Jul-92,3.338697,5.1293292,3.2789824,0.70011777,3.8852837,3.2789824,3.3901575
1-Aug-92,4.7790651,4.5120463,6.045001,2.3256841,4.6376104,5.7326474,3.8221242
1-Sep-92,4.2559614,5.7158413,4.8790164,2.3256841,4.5007672,3.0459235,3.0459177
1-Oct-92,1.8401128,4.2559576,4.8790164,2.6727729,3.9468422,3.7740378,4.3249941
1-Nov-92,1.7126994,5.4067221,3.1463361,3.2789843,4.0821996,4.6520014,3.4073985
1-Dec-92,3.0771658,5.6089501,5.5630064,2.7683403,3.3901551,2.7398915,3.9220712
1-Jan-93,2.1368334,3.3198037,5.3049212,4.0821953,3.361666,4.5985069,4.0822039
1-Feb-93,2.5975487,4.182919,4.2559614,4.7201605,3.0907571,2.8710105,4.0920305
1-Mar-93,1.9324255,4.8790164,3.7681031,2.1277378,4.2559614,4.3149967,3.5297692
