date,WGT_cmi_n,WGT_ehi_n,WGT_fpi_n,WGT_lhi_n,WGT_mni_n,WGT_pai_n,WGT_tti_n
1-Jan-83,966902.8228,4221302.185,2678264.837,1778977.651,4736587.276,1250693.741,4452751.746
1-Feb-83,981790.3828,4509051.118,2918904.523,1696099.132,4649333.704,1266371.081,4197514.413
1-Mar-83,1020044.772,4240333.777,2931221.721,1776632.56,4905943.68,1288934.29,4180978.208
1-Apr-83,1204420.241,4455669.104,2807309.631,1835771.879,4331346.634,1216642.142,4236676.994
1-May-83,958616.1604,4105722.568,3019526.19,1984255.202,4246558.269,1166426.091,4015657.827
1-Jun-83,1263728.863,3642191.465,2700561.917,2221017.417,4275452.807,1319585.704,3852226.454
1-Jul-83,1323563.249,3839842.862,2706566.6,2111919.43,4657671.429,1078044.671,4233960.171
1-Aug-83,1374275.451,3698412.401,2922036.633,2113159.824,4764647.321,1219452.067,4539361.822
1-Sep-83,1163987.539,4353159.774,3009929.862,1725988.901,4292247.796,1228281.681,4483807.33
1-Oct-83,1164950.392,4284904.814,2613549.484,1737124.561,4716507.921,1169166.09,3891866.122
1-Nov-83,1228405.135,4017091.988,2665950.89,1986755.579,4074129.122,1212324.697,4362172.481
1-Dec-83,1170147.297,4430826.528,2896993.648,1948135.531,4575583.522,1175413.962,4624362.38
1-Jan-84,966088.8242,4211918.65,3001922.411,1910324.281,4370563.17,1238103.475,4132181.838
1-Feb-84,975108.6711,4616722.126,2849296.344,1830811.758,4228713.555,1159669.447,4130817.705
1-Mar-84,1212666.856,4398886.582,2952759.636,1766406.88,4593500.554,1234399.333,4023242.267
1-Apr-84,1319299.161,4264265.799,2846242.323,1832000.981,4436584.987,1181942.334,4562451.799
1-May-84,1102589.379,3981777.699,2934037.246,2074793.148,4495214.229,1146281.801,4082649.582
1-Jun-84,1311726.851,3834194.214,2599581.173,2020546.57,4554479.793,1156150.707,4648622.652
1-Jul-84,1216702.679,3949527.699,2807853.257,2310452.113,4219652.759,1163971.649,4389041.825
1-Aug-84,1314736.139,3739593.071,2741247.717,1909068.2,4655174.819,1262528.971,4167788.977
1-Sep-84,1130914.003,3888425.066,2755615.669,1766373.605,4250479.517,1115336.892,4221146.61
1-Oct-84,1123046.777,4122446.737,2876954.027,1650824.52,4431636.075,1158363.045,3993050.462
1-Nov-84,1095400.312,4143524.665,2572531.807,1891274.888,4430794.979,1244849.057,4523321.491
1-Dec-84,1371992.121,3707273.679,2619757.382,2181808.645,4466155.328,1188559.632,4410175.301
1-Jan-85,1039658.719,3967803.912,2921544.12,1937790.752,5065534.082,1024109.751,4166310.19
1-Feb-85,1034817.148,4027447.053,2870446.257,1969766.89,4359727.346,1177328.189,4388454.162
1-Mar-85,1054638.583,4343775.849,3175118.964,1923029.883,4548714.12,1211104.882,4132702.828
1-Apr-85,1094571.444,4331656.673,3049281.903,1929512.104,4446127.06,1320351.771,3924973.432
1-May-85,1102610.989,4587779.253,3034328.634,1982610.449,4329516.57,1196364.69,4490257.879
1-Jun-85,1032598.483,3303941.7,2541008.816,1744160.499,3960820.481,1017522.563,3692924.428
1-Jul-85,1045876.137,3387376.132,2587053.869,1772545.741,3999368.734,1039629.017,3755984.739
1-Aug-85,1059153.79,3470810.563,2633098.922,1800930.982,4037916.987,1061735.471,3819045.05
1-Sep-85,1072431.444,3554244.995,2679143.975,1829316.224,4076465.239,1083841.924,3882105.361
1-Oct-85,1085709.098,3637679.427,2725189.028,1857701.465,4115013.492,1105948.378,3945165.673
1-Nov-85,1098986.751,3721113.858,2771234.081,1886086.707,4153561.745,1128054.832,4008225.984
1-Dec-85,1112264.405,3804548.29,2817279.134,1914471.948,4192109.998,1150161.286,4071286.295
1-Jan-86,1125542.058,3887982.721,2863324.187,1942857.19,4230658.251,1172267.739,4134346.606
1-Feb-86,1138819.712,3971417.153,2909369.24,1971242.432,4269206.504,1194374.193,4197406.917
1-Mar-86,1152097.366,4054851.585,2955414.293,1999627.673,4307754.756,1216480.647,4260467.228
1-Apr-86,1165375.019,4138286.016,3001459.346,2028012.915,4346303.009,1238587.101,4323527.539
1-May-86,1178652.673,4221720.448,3047504.399,2056398.156,4384851.262,1260693.554,4386587.85
1-Jun-86,1191930.327,4305154.88,3093549.452,2084783.398,4423399.515,1282800.008,4449648.162
1-Jul-86,1205207.98,4388589.311,3139594.505,2113168.639,4461947.768,1304906.462,4512708.473
1-Aug-86,1218485.634,4472023.743,3185639.558,2141553.881,4500496.02,1327012.916,4575768.784
1-Sep-86,1231763.287,4555458.174,3231684.611,2169939.122,4539044.273,1349119.369,4638829.095
1-Oct-86,1245040.941,4638892.606,3277729.664,2198324.364,4577592.526,1371225.823,4701889.406
1-Nov-86,1576698.12,4782214.296,3516379.003,1975054.826,4492032.656,1413286.493,4832079.248
1-Dec-86,1223244.052,4297295.743,3523258.987,2376752.012,4544991.489,1376163.149,4506715.826
1-Jan-87,1079955.207,4374019.031,3056684.546,2039440.018,4925002.652,1312375.413,4304858.591
1-Feb-87,1295181.159,4533567.566,3381835.375,2165614.912,4418844.971,1474924.965,4524151.589
1-Mar-87,1230742.967,4561949.082,3323453.569,2105078.967,4590969.794,1346212.275,4511462.631
1-Apr-87,1298152.833,4284089.334,3199638.552,2141936.989,4892365.396,1406950.871,4682852.199
1-May-87,1146692.982,4494635.472,3228727.536,2288233.787,4541718.336,1395229.241,4649439.301
1-Jun-87,1349588.801,4212656.167,3153264.695,2326064.096,4787405.212,1175542.876,5108281.248
1-Jul-87,1612200.987,4221375.074,3284142.828,2517078.69,4442115.023,1351277.83,4644824.407
1-Aug-87,1333932.638,4215883.418,3280756.004,2397565.064,4825247.388,1471678.498,4600722.49
1-Sep-87,1405969.549,4479556.479,3266831.18,2169884.93,4825298.774,1156744.52,4527786.237
1-Oct-87,1330925.332,4367246.309,3411897.323,2170924.951,4735928.316,1276462.696,4613378.159
1-Nov-87,1429225.769,4559755.418,3467108.789,2315384.301,4748452.13,1484706.845,4802635.47
1-Dec-87,1167455.989,4640606.034,3282339.509,2006432.791,4842143.939,1275355.119,4431152.662
1-Jan-88,1267518.692,4538288.998,3277499.847,1994384.447,4116536.239,1240751.158,4682310.541
1-Feb-88,1200091.459,4816054.163,3440213.519,2154759.345,4244220.183,1059175.489,4526140.137
1-Mar-88,1167978.972,4808288.585,3099766.177,2046621.411,4270339.71,1286334.95,4986283.458
1-Apr-88,1267685.887,4579518.506,3347395.884,2251664.293,4660337.113,1186191.784,4762453.528
1-May-88,1343589.769,4508552.71,3124272.504,2091490.562,4432839.465,1423309.721,4272318.167
1-Jun-88,1259829.738,3846466.032,3031561.643,2043028.982,4245615.624,1445163.822,4534780.274
1-Jul-88,1287813.698,3772273.07,3122933.281,2411839.469,4462954.727,1270770.328,4900470.115
1-Aug-88,1540509.055,3779851.021,3521380.772,1972691.002,4217577.067,1368539.972,4860833.621
1-Sep-88,1128395.256,4088880.922,3107662.424,1951336.714,4568057.205,1258464.972,4637396.94
1-Oct-88,1233115.261,4521869.61,3018551.385,2289343.414,4260214.234,1556253.479,4225933.419
1-Nov-88,1285204.728,4430527.873,3527412.592,2114325.335,4284072.917,1424183.988,4264010.535
1-Dec-88,1310108.174,4688570.1,3127672.04,2240619.802,4495484.856,1498567.029,4560677.318
1-Jan-89,1231265.597,4660135.539,3316994.997,2080099.729,4537121.348,1412730.429,4607295.213
1-Feb-89,971711.6189,4441825.408,3207364.382,2356081.53,4157369.783,1461009.473,4753776.25
1-Mar-89,1175801.684,4807354.11,3186565.014,1873329.377,4643154.41,1619687.861,4602325.026
1-Apr-89,1266314.78,4745997.637,3720035.009,2090287.618,4336513.846,1252394.884,4823942.676
1-May-89,1316184.671,4363028.975,3156948.184,1832743.605,4482211.614,1336026.298,4066680.907
1-Jun-89,1377609.609,3949601.135,3570054.668,1984563.944,4263456.457,1312353.093,4479428.472
1-Jul-89,1258749.192,4422113.989,3404602.782,2273817.707,4357478.927,1321757.331,4834915.581
1-Aug-89,1334744.104,4097794.244,3154237.383,2191440.118,4114761.214,1214405.826,4818724.343
1-Sep-89,1196068.563,4232811.952,3475675.613,1957387.285,4070666.674,1142462.601,4590100.623
1-Oct-89,1222730.95,4769648.955,3090873.657,1967915.801,4500097.865,1296354.809,4627481.635
1-Nov-89,1068674.41,4459501.198,3013999.513,1739113.248,3984812.459,1340566.645,3851218.32
1-Dec-89,1265617.212,4142616.989,3237992.112,2060947.465,4161623.339,1202952.375,4340869.164
1-Jan-90,1039456.627,4649761.184,3107493.055,1886202.637,4246879.932,1331941.226,4464358.561
1-Feb-90,1102638.611,4654853.196,2904890.502,2058639.351,4371101.693,1261934.65,4319126.974
1-Mar-90,999175.5466,4773435.764,3453263.119,2250438.576,4450374.019,1335807.016,4339255.245
1-Apr-90,1360868.271,4384981.998,3172697.314,2160701.776,4227226.329,1615607.421,4770187.371
1-May-90,1385662.821,4503997.922,3166222.574,1891566.978,4164869.112,1368175.219,4791757.809
1-Jun-90,1335039.882,3996042.025,3342763.021,2156925.816,4404068.742,1135402.806,4275531.692
1-Jul-90,1486384.557,4480094.782,3785222.16,2395966.134,4391361.3,1424602.458,4841144.875
1-Aug-90,1348940.122,4226952.915,3492171.47,2579323.839,4494241.57,1246026.099,4618367.684
1-Sep-90,1471675.832,4543539.516,3185062.793,2319701.5,4389896.867,1244011.805,4621050.911
1-Oct-90,1192982.531,4509542.852,3617184.866,2236621.029,4222115.542,1403193.917,4771398.012
1-Nov-90,1341121.286,5000453.298,3385701.859,1660555.231,4262289.815,1496813.419,4256680.849
1-Dec-90,1307584.039,4939073.619,3386585.638,2364141.768,4499601.595,1223662.829,4526033.047
1-Jan-91,1113883.962,4776877.063,3448552.612,2195801.591,4452285.326,1695493.27,4773371.298
1-Feb-91,1191902.156,5080517.508,3642944.588,2035795.139,4431325.99,1590650.883,5025497.857
1-Mar-91,1151595.973,5084232.631,3498293.262,2285973.324,4465749.069,1451914.247,5000659.93
1-Apr-91,1192587.379,4921933.486,3451623.804,2269267.947,4152501.537,1195406.738,4787635.967
1-May-91,1145108.91,5172070.993,3773663.456,2237817.493,4301249.751,1593977.163,4786528.915
1-Jun-91,1427626.76,4332804.486,3476635.232,2346455.107,4626613.905,1354825.539,4548196.986
1-Jul-91,1297871.729,4851998.358,3418197.983,2465737.097,4406941.276,1455037.212,5101492.685
1-Aug-91,1312759.27,4289192.435,3482184.195,2557655.911,4332230.171,1336685.569,4549678.891
1-Sep-91,1405654.239,4556612.918,3636206.031,2038710.622,4462679.84,1475082.792,4683650.821
1-Oct-91,1059045.812,5016116.739,3260858.561,2264573.24,4660062.533,1638402.249,4822607.304
1-Nov-91,1273716.092,4914791.588,3181772.456,2177576.856,4372913.818,1368261.039,4803774.584
1-Dec-91,1193735.408,5304057.579,3916001.838,2399484.032,4296612.96,1283226.101,5143455.545
1-Jan-92,1109071.898,5216459.814,4011597.216,1989229.359,4051667.452,1475415.43,4982949.415
1-Feb-92,1041162.632,5192693.376,3722852.145,2369108.697,4452798.995,1408892.035,4791668.826
1-Mar-92,973429.4119,5297807.384,3724803.363,2006535.673,4477121.957,1467102.032,4760205.863
1-Apr-92,1211293.997,4800285.007,3972290.436,2242716.553,4386846.062,1424236.877,4568446.76
1-May-92,1380461.543,4926215.426,3390786.481,2383769.173,4732741.727,1262398.685,5068499.748
1-Jun-92,1297321.659,4577727.81,3608811.543,2433725.881,4171238.724,1541261.359,4679092.558
1-Jul-92,1446351.712,4489239.333,3671535.269,2478598.822,4678478.589,1378829.105,4962488.21
1-Aug-92,1321815.822,3977337.421,3358380.586,2278437.275,4035572.631,1353756.949,4468550.712
1-Sep-92,1041208.069,5138978.317,3559674.37,2186479.731,4257093.583,1444302.427,4621175.746
1-Oct-92,1185913.706,4870601.95,3864618.52,1835372.793,4230887.758,1492019.72,4526555.77
1-Nov-92,1161450.423,4941677.383,3410808.948,2105678.224,4512170.589,1553112.222,4928882.596
1-Dec-92,1102868.561,4982062.197,3362851.814,2389211.936,4533127.812,1563505.709,4963457.346
1-Jan-93,1139237.446,5104782.474,3409259.934,2052035.344,4103551.661,1439306.189,4901492.578
1-Feb-93,1153851.794,4996043.2,3712574.116,2462043.949,4353721.306,1440945.524,4875911.959
1-Mar-93,917047.9596,5174375.834,3665623.183,2451533.131,4334002.963,1519167.178,4722470.346
1-Apr-93,1379065.71,4915756.135,3737715.145,2231927.395,4253280.017,1364090.379,4631663.91
1-May-93,1264777.496,4950977.997,3239824.381,2379542.583,4117752.925,1280544.022,5084111.796
1-Jun-93,1362062.349,5111431.667,3535758.716,2344409.038,4534626.561,1393618.402,5180310.89
1-Jul-93,1201979.388,4189462.105,3820248.944,2548871.725,4425079.913,1489950.386,5039859.706
1-Aug-93,1187759.341,4701052.837,3693903.941,2518057.208,4542992.326,1798302.369,5354381.881
1-Sep-93,1203666.831,5010607.708,3582265.074,2199531.772,4153468.108,1352513.79,4798648.145
1-Oct-93,1174140.422,5437598.406,3388274.43,2321699.875,4422860.243,1421047.362,4712663.844
1-Nov-93,1151738.646,5323671.071,3683500.705,2312120.208,4296639.84,1443831.184,5217293.08
1-Dec-93,1202612.228,5188276.356,3808686.395,2244996.536,4291285.823,1522255.429,5000324.487
1-Jan-94,1264776.741,5829528.27,4328661.909,2420623.367,4704150.245,1624036.469,5565943.823
1-Feb-94,1097630.588,5773091.715,3898481.022,2491742.192,4536289.108,1849552.157,5474712.85
1-Mar-94,1097595.802,6449766.2,3975874.476,2392960.741,4711188.422,1830151.795,5712602.927
1-Apr-94,1141976.722,5952241.335,4377665.47,2474132.635,4523108.423,1723325.587,5649294.453
1-May-94,1209389.316,5368096.848,4033378.766,2533669.874,4766952.973,1793324.159,5650998.953
1-Jun-94,1383915.029,5360592.076,4058812.769,2989899.983,4970385.91,1856678.26,5889886.809
1-Jul-94,1570498.011,5480749.186,4605537.481,2728869.204,5006329.318,1757022.699,5870729.661
1-Aug-94,1773052.419,5276975.2,4348601.102,2809931.174,4843136.72,1579004.688,5353313.452
1-Sep-94,1489860.373,5972032.152,4638498.923,2762695.225,4670209.372,1562768.87,5893336.974
1-Oct-94,1452370.38,5860512.928,3978441.132,2384380.548,4715088.138,1740067.001,5420362.433
1-Nov-94,1381742.98,5417765.344,3996984.993,2078822.678,4329820.082,1502752.01,4996307.357
1-Dec-94,1309243.275,5632305.97,4481394.502,2383259.105,4439383.113,1606484.241,5098514.643
1-Jan-95,1443109.036,6674900.629,4210360.747,2776705.005,5527985.35,1933290.106,6265197.714
1-Feb-95,1587821.286,6429115.993,5208944.328,3249671.461,5186850.68,1921071.161,5979333.022
1-Mar-95,1176502.866,6744593.994,5233445.501,2709538.888,5268174.52,2013689.483,6183810.848
1-Apr-95,1539779.678,6396365.635,5286341.59,2777043.025,5015584.19,2008240.357,6218600.515
1-May-95,1542965.403,6694596.33,5394367.949,3029541.607,5102261.208,1836306.09,6184822.4
1-Jun-95,1531639.09,6593426.165,5280550.359,2985637.648,5053994.309,1800103.859,6092311.674
1-Jul-95,1520312.777,6492256,5166732.769,2941733.688,5005727.41,1763901.629,5999800.949
1-Aug-95,1508986.464,6391085.835,5052915.18,2897829.729,4957460.51,1727699.398,5907290.223
1-Sep-95,1497660.151,6289915.67,4939097.59,2853925.77,4909193.611,1691497.167,5814779.497
1-Oct-95,1486333.838,6188745.504,4825280,2810021.81,4860926.712,1655294.936,5722268.772
1-Nov-95,1475007.525,6087575.339,4711462.41,2766117.851,4812659.813,1619092.706,5629758.046
1-Dec-95,1463681.212,5986405.174,4597644.82,2722213.891,4764392.913,1582890.475,5537247.32
1-Jan-96,1452354.899,5885235.009,4483827.231,2678309.932,4716126.014,1546688.244,5444736.595
1-Feb-96,1441028.586,5784064.844,4370009.641,2634405.973,4667859.115,1510486.013,5352225.869
1-Mar-96,1429702.273,5682894.679,4256192.051,2590502.013,4619592.216,1474283.783,5259715.143
1-Apr-96,1418375.96,5581724.514,4142374.461,2546598.054,4571325.316,1438081.552,5167204.417
1-May-96,1407049.647,5480554.349,4028556.871,2502694.095,4523058.417,1401879.321,5074693.692
1-Jun-96,1395723.334,5379384.183,3914739.281,2458790.135,4474791.518,1365677.09,4982182.966
1-Jul-96,1384397.021,5278214.018,3800921.692,2414886.176,4426524.619,1329474.86,4889672.24
1-Aug-96,1373070.708,5177043.853,3687104.102,2370982.216,4378257.719,1293272.629,4797161.515
1-Sep-96,1361744.395,5075873.688,3573286.512,2327078.257,4329990.82,1257070.398,4704650.789
1-Oct-96,1337038.654,5217327.756,3648542.884,2119701.33,4242335.471,1161842.042,4774182.622
1-Nov-96,1348454.747,5283852.535,3421801.95,2158644.704,4118384.186,1400409.452,4698038.531
1-Dec-96,1195967.78,5175211.488,3509143.757,2422273.091,4178930.661,967583.134,5082730.373
1-Jan-97,925943.7553,5241153.396,3626562.296,2300660.579,4278675.151,1444353.019,4496743.49
1-Feb-97,1048747.686,5532727.496,3788056.883,2206525.056,3709733.497,1415832.474,4751140.71
1-Mar-97,1181633.224,5172528.797,3480975.824,2241257.924,4891408.827,1158348.985,4852852.38
1-Apr-97,1258872.31,5133247.983,3619753.043,1970753.62,3863190.026,1249379.932,4282352.36
