date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
20-Mar-1961,1.7837647,4.879014,4.7290678,1.9386696,4.3483644,4.0475907,4.7091579
21-Mar-1961,4.878849,3.9512944,4.7649136,5.4818544,4.4844656,5.3041778,4.257791
22-Mar-1961,4.0455022,4.4451761,6.0624623,5.1475239,4.0820761,4.7626286,4.4669113
23-Mar-1961,5.4067221,4.4450231,3.9230161,4.6520014,4.0821996,4.3616114,5.1293292
24-Mar-1961,5.4061413,3.6840231,5.6699066,3.7295814,4.879014,4.7624307,3.8405619
25-Mar-1961,5.1293292,4.4520116,6.45363,5.8486872,4.8287759,4.5610499,4.7843671
26-Mar-1961,3.2194815,4.2979822,5.8838701,7.4107971,5.7713666,3.6367645,4.8952103
27-Mar-1961,5.1293292,3.9515288,6.0624623,3.9220712,3.6982293,5.674859,4.8893223
28-Mar-1961,5.711441,4.2820044,5.1293292,5.7158413,4.1393108,3.8089218,5.5182066
29-Mar-1961,4.0026917,4.5023732,7.0340762,.078680024,4.3886356,5.0391483,5.2995639
30-Mar-1961,5.2163415,3.8511693,5.369832,5.973258,4.3840289,2.9852962,5.7708263
31-Mar-1961,7.4107971,5.0642462,6.0624623,5.1293292,5.4067221,4.4149885,4.1621695
01-Apr-1961,5.0838404,3.9220676,6.8992872,4.8790164,4.7424192,3.0771658,4.6520014
02-Apr-1961,3.9220712,3.6366274,5.8838921,6.6119289,4.35818,4.0821996,4.529058
03-Apr-1961,4.8788319,3.5627217,5.7045994,6.6470633,4.2200351,5.1293292,4.4451752
04-Apr-1961,4.6916938,5.2202778,5.5981703,5.6084156,5.6695166,5.9638286,4.8790164
05-Apr-1961,4.4451761,4.593152,7.8551259,4.0821996,4.7428713,7.4686513,5.7158413
06-Apr-1961,4.3963122,5.3592262,6.7972989,4.8790164,5.0325036,4.2561946,5.8648763
07-Apr-1961,4.4451761,5.3740978,6.1067591,5.8234797,4.8790164,5.6526895,5.1270628
08-Apr-1961,5.7158413,4.3333116,5.9312229,5.1293292,4.5610499,5.9258056,5.1293292
09-Apr-1961,5.9840031,4.4451761,6.0624623,3.9787269,4.473588,4.6605115,4.7117758
10-Apr-1961,4.4000287,4.3432665,6.3390293,5.5630827,4.8790178,5.2154279,5.1446142
11-Apr-1961,3.7738853,4.7025008,5.4106784,4.4451761,5.1171489,4.9309359,5.162652
12-Apr-1961,5.1293292,4.546155,7.2487168,3.073822,5.5828552,5.1293302,4.8966532
13-Apr-1961,6.2109985,4.8790164,5.7830925,1.8868467,4.290751,6.1878819,5.1293292
14-Apr-1961,4.208621,5.132658,6.5751357,3.7740304,4.4451761,5.1291437,5.6587048
15-Apr-1961,6.0024023,5.1293278,5.9749994,4.8704834,5.1293292,6.0622735,6.4538522
16-Apr-1961,3.8752961,3.9220676,6.766345,4.4539814,4.6520014,5.0241194,5.1293292
17-Apr-1961,3.4776862,5.1293292,6.4538522,0,5.826889,6.2595825,5.3256841
18-Apr-1961,5.2680254,4.0821996,6.1875405,4.3505688,4.856895,4.6276979,4.5789757
19-Apr-1961,5.7785072,5.1293292,7.2687802,2.8987508,3.5864239,4.7973537,5.1959753
20-Apr-1961,4.0716152,5.1293292,7.803966,2.3392859,4.0252695,4.6520014,4.451005
21-Apr-1961,4.5102248,5.037621,7.5801663,4.3461766,4.6520014,6.0624623,4.8790164
22-Apr-1961,6.1159086,4.8790164,6.4498954,4.5462332,5.7156386,6.0209985,5.106842
23-Apr-1961,7.4707713,3.7740328,6.2277555,4.5462408,4.8790193,5.4168229,5.1959758
24-Apr-1961,6.0848465,4.4451761,5.1293292,5.4067221,4.6889658,5.5126424,5.4067221
25-Apr-1961,5.1293292,4.0821996,4.8788319,5.1293292,4.4522572,6.4538522,4.8351774
