date_monthly,WGT_cmi_n,WGT_ehi_n,WGT_fpi_n,WGT_lhi_n,WGT_mni_n,WGT_pai_n,WGT_tti_n
20-Mar-1961,120,645,417,265,463,175,551
21-Mar-1961,125,680,418,270,408,170,549
22-Mar-1961,135,610,397,252,517,137,544
23-Mar-1961,136,607,393,215,421,146,466
24-Mar-1961,146,664,428,281,446,135,562
25-Mar-1961,136,586,411,277,454,153,531
26-Mar-1961,152,590,427,311,460,161,580
27-Mar-1961,151,604,396,295,434,146,582
28-Mar-1961,156,627,480,266,450,174,528
29-Mar-1961,156,681,421,250,404,163,576
30-Mar-1961,171,635,416,288,466,165,533
31-Mar-1961,121,678,433,251,410,148,605
01-Apr-1961,151,669,404,283,458,157,550
02-Apr-1961,145,723,473,266,471,181,578
03-Apr-1961,133,651,430,258,465,151,542
04-Apr-1961,117,654,413,269,420,157,514
05-Apr-1961,156,571,437,251,425,149,555
06-Apr-1961,163,582,401,299,413,158,581
07-Apr-1961,157,527,420,252,442,147,564
08-Apr-1961,153,571,426,264,471,167,533
09-Apr-1961,159,623,391,304,437,152,520
10-Apr-1961,142,608,462,260,464,162,522
11-Apr-1961,139,653,404,257,458,152,578
12-Apr-1961,126,580,375,246,402,124,496
13-Apr-1961,130,605,411,239,433,154,517
14-Apr-1961,136,644,445,263,377,170,502
15-Apr-1961,138,626,475,258,421,155,550
16-Apr-1961,121,590,431,266,403,137,508
17-Apr-1961,150,623,440,245,415,134,530
18-Apr-1961,140,549,455,260,377,154,517
19-Apr-1961,128,582,425,289,388,125,527
20-Apr-1961,150,521,432,239,380,119,550
21-Apr-1961,156,660,421,270,408,161,519
22-Apr-1961,150,635,445,271,381,141,552
23-Apr-1961,170,623,408,251,399,151,567
24-Apr-1961,142,667,451,266,394,138,550
25-Apr-1961,139,579,423,263,388,169,496
26-Apr-1961,134,643,426,236,354,147,535
27-Apr-1961,120,683,444,240,416,157,555
28-Apr-1961,127,610,420,223,395,151,507
29-Apr-1961,126,549,397,234,399,147,519
30-Apr-1961,142,559,428,216,331,136,483
01-May-1961,149,543,412,313,344,124,490
02-May-1961,137,510,447,277,371,137,472
03-May-1961,141,578,439,226,336,166,536
04-May-1961,141,572,418,224,340,137,525
05-May-1961,144,554,425,239,375,124,460
06-May-1961,140,577,412,253,341,142,522
07-May-1961,140,626,468,244,400,148,545
08-May-1961,151,643,439,253,397,174,575
09-May-1961,138,616,451,266,398,163,527
10-May-1961,108,570,355,251,344,119,454
11-May-1961,120,566,369,221,333,147,507
12-May-1961,140,484,362,231,340,109,425
13-May-1961,151,474,362,253,303,128,433
14-May-1961,144,525,335,236,308,123,481
15-May-1961,142,537,372,224,299,119,442
16-May-1961,144,527,342,232,287,126,474
17-May-1961,142,557,360,246,279,120,436
18-May-1961,126,560,368,236,340,138,434
19-May-1961,121,536,411,238,284,111,460
20-May-1961,123,606,413,243,325,162,515
21-May-1961,137,652,423,219,353,156,477
22-May-1961,121,508,391,206,290,117,385
23-May-1961,133,488,401,193,287,140,421
24-May-1961,137,507,331,225,275,111,452
25-May-1961,194,576,469,310,394,166,560
26-May-1961,159,622,474,296,370,160,551
27-May-1961,163,681,453,263,369,139,555
28-May-1961,187,723,418,287,346,143,527
29-May-1961,157,694,473,258,334,168,556
30-May-1961,139,713,446,270,343,143,530
31-May-1961,156,713,441,275,413,164,533
01-Jun-1961,178,790,504,302,411,213,571
02-Jun-1961,142,766,487,315,411,162,575
03-Jun-1961,151,644,448,285,424,137,507
04-Jun-1961,134,700,456,266,351,156,542
05-Jun-1961,181,593,425,292,382,138,529
06-Jun-1961,174,620,478,326,367,178,499
07-Jun-1961,153,601,461,289,360,167,497
08-Jun-1961,173,669,443,256,342,149,525
09-Jun-1961,144,657,452,307,347,152,514
10-Jun-1961,163,661,448,254,370,134,496
11-Jun-1961,155,690,420,226,358,150,464
12-Jun-1961,158,692,463,301,373,149,527
13-Jun-1961,173,751,552,276,440,138,592
14-Jun-1961,150,770,510,275,400,165,527
15-Jun-1961,130,627,435,260,314,143,504
16-Jun-1961,140,660,409,282,384,148,507
17-Jun-1961,150,621,393,306,342,125,512
18-Jun-1961,179,624,423,257,348,150,508
19-Jun-1961,165,593,408,234,339,157,466
20-Jun-1961,138,605,379,230,332,134,452
21-Jun-1961,155,628,409,258,402,154,474
22-Jun-1961,148,546,393,221,302,121,473
23-Jun-1961,134,523,357,207,248,117,456
24-Jun-1961,119,591,360,258,284,129,466
25-Jun-1961,142,648,413,222,322,138,504
26-Jun-1961,166,671,421,263,326,159,478
27-Jun-1961,127,599,393,220,285,137,455
28-Jun-1961,146,554,383,242,308,127,442
29-Jun-1961,148,586,412,240,296,125,413
30-Jun-1961,160,519,402,265,268,145,472
01-Jul-1961,134,532,439,285,278,153,482
02-Jul-1961,140,547,365,201,293,116,413
03-Jul-1961,120,580,419,269,255,154,476
04-Jul-1961,161,620,448,242,354,152,561
05-Jul-1961,143,702,445,270,325,145,480
06-Jul-1961,141,674,461,263,354,182,569
07-Jul-1961,185,747,483,258,336,182,543
08-Jul-1961,164,688,491,272,346,182,453
09-Jul-1961,141,594,442,246,350,153,458
10-Jul-1961,159,614,396,237,276,159,490
11-Jul-1961,155,577,387,267,332,142,443
12-Jul-1961,167,610,445,314,319,153,525
13-Jul-1961,174,658,451,286,350,151,502
14-Jul-1961,156,689,457,288,309,145,453
15-Jul-1961,155,708,437,251,320,134,474
16-Jul-1961,176,663,428,278,297,150,544
17-Jul-1961,173,687,432,245,344,152,499
18-Jul-1961,179,676,486,264,306,138,504
19-Jul-1961,164,721,457,290,342,180,520
20-Jul-1961,152,718,477,268,355,162,501
21-Jul-1961,162,682,432,232,322,155,465
22-Jul-1961,155,625,485,263,343,157,466
23-Jul-1961,177,620,435,267,335,183,494
24-Jul-1961,161,592,475,265,292,148,542
25-Jul-1961,137,630,460,276,340,165,476
26-Jul-1961,169,618,427,260,301,125,486
27-Jul-1961,148,625,472,259,309,160,489
28-Jul-1961,170,658,409,229,302,131,459
29-Jul-1961,169,615,484,261,306,139,453
30-Jul-1961,171,666,436,292,333,179,511
31-Jul-1961,168,728,482,294,345,182,578
01-Aug-1961,169,714,485,303,362,171,507
02-Aug-1961,157,715,461,259,328,164,500
03-Aug-1961,147,673,386,301,351,168,476
04-Aug-1961,162,684,449,287,344,190,501
05-Aug-1961,162,615,484,286,327,152,489
06-Aug-1961,180,642,467,290,355,161,513
07-Aug-1961,144,673,411,289,331,129,453
08-Aug-1961,175,660,430,251,290,167,473
09-Aug-1961,154,661,414,232,290,140,471
10-Aug-1961,175,701,413,256,325,160,446
11-Aug-1961,139,644,448,250,294,135,498
12-Aug-1961,171,749,484,302,331,153,530
13-Aug-1961,162,749,460,304,309,154,537
14-Aug-1961,129,727,434,276,276,185,485
15-Aug-1961,125,662,470,258,290,159,447
16-Aug-1961,165,704,470,315,322,172,492
17-Aug-1961,138,659,440,309,302,150,513
18-Aug-1961,176,665,453,305,296,151,499
19-Aug-1961,136,622,398,277,308,130,455
20-Aug-1961,143,680,428,269,305,155,459
21-Aug-1961,125,717,452,255,275,151,446
22-Aug-1961,129,660,379,234,286,154,454
23-Aug-1961,116,680,422,266,262,171,437
24-Aug-1961,137,732,509,271,298,169,484
25-Aug-1961,151,708,469,288,283,150,528
26-Aug-1961,131,780,458,275,285,190,530
27-Aug-1961,136,650,424,270,291,173,416
28-Aug-1961,130,663,411,272,289,146,472
29-Aug-1961,139,644,433,283,281,120,479
30-Aug-1961,126,631,416,330,296,162,459
31-Aug-1961,126,647,393,244,286,148,443
01-Sep-1961,132,661,371,274,275,135,443
02-Sep-1961,111,620,374,286,251,140,448
03-Sep-1961,117,665,395,254,217,137,430
04-Sep-1961,122,664,442,263,282,139,431
05-Sep-1961,126,723,468,297,319,147,496
06-Sep-1961,120,723,467,270,285,164,484
07-Sep-1961,137,683,462,250,296,144,440
08-Sep-1961,121,621,390,231,291,155,448
09-Sep-1961,107,613,427,266,241,134,431
