date,jolts_openings,unemployment,urate,employment,ahe,pce,pce_exhousing,atlwgt
01dec1996,,7253,5.4000001,127860,12.24,71.068001,60.799999,
01jan1997,,7158,5.3000002,128298,12.29,71.143997,60.799999,
01feb1997,,7102,5.1999998,128298,12.31,71.290001,61,
01mar1997,,7000,5.1999998,128891,12.35,71.459999,61.200001,4.5
01apr1997,,6873,5.0999999,129143,12.38,71.599998,61.400002,4.5999999
01may1997,,6655,4.9000001,129464,12.43,71.652,61.5,4.5
01jun1997,,6799,5,129412,12.46,71.758003,61.700001,4.5999999
01jul1997,,6655,4.9000001,129822,12.5,71.806999,61.799999,4.8000002
01aug1997,,6608,4.8000002,130010,12.57,71.778,61.799999,4.9000001
01sep1997,,6656,4.9000001,130019,12.6,71.927002,62,4.8000002
01oct1997,,6454,4.6999998,130179,12.66,72.036003,62.099998,4.8000002
01nov1997,,6308,4.5999999,130653,12.71,72.057999,62.200001,4.8000002
01dec1997,,6476,4.6999998,130679,12.75,72.099998,62.200001,4.9000001
01jan1998,,6368,4.5999999,130726,12.79,72.209999,62.400002,4.9000001
01feb1998,,6306,4.5999999,130807,12.83,72.272003,62.5,4.8000002
01mar1998,,6422,4.6999998,130814,12.87,72.348999,62.599998,4.5999999
01apr1998,,5941,4.3000002,131209,12.92,72.482002,62.700001,4.9000001
01may1998,,6047,4.4000001,131325,12.97,72.552002,62.799999,5.1999998
01jun1998,,6212,4.5,131244,12.99,72.460999,62.700001,5.4000001
01jul1998,,6259,4.5,131329,13,72.665001,62.900002,5.4000001
01aug1998,,6179,4.5,131390,13.07,72.806999,63.099998,5.3000002
01sep1998,,6300,4.5999999,131986,13.11,72.794998,63.099998,5.0999999
01oct1998,,6280,4.5,131999,13.14,72.936996,63.299999,5
01nov1998,,6100,4.4000001,132280,13.17,72.949997,63.299999,4.9000001
01dec1998,,6032,4.4000001,132602,13.21,73.075996,63.400002,5
01jan1999,,5976,4.3000002,133027,13.27,73.18,63.5,5
01feb1999,,6111,4.4000001,132856,13.3,73.154999,63.5,5
01mar1999,,5783,4.1999998,132947,13.34,73.177002,63.599998,5.1999998
01apr1999,,6004,4.3000002,132955,13.38,73.364998,63.700001,5.1999998
01may1999,,5796,4.1999998,133311,13.42,73.434998,63.900002,5.1999998
01jun1999,,5951,4.3000002,133378,13.47,73.473999,63.900002,4.9000001
01jul1999,,6025,4.3000002,133414,13.51,73.606003,64.099998,5
01aug1999,,5838,4.1999998,133591,13.54,73.641998,64.099998,4.8000002
01sep1999,,5915,4.1999998,133707,13.6,73.836998,64.300003,5
01oct1999,,5778,4.0999999,133993,13.64,73.962997,64.5,5.0999999
01nov1999,,5716,4.0999999,134309,13.66,74.033997,64.699997,5.1999998
01dec1999,,5653,4,134523,13.7,74.127998,64.800003,5
01jan2000,,5708,4,136559,13.75,74.306,65,4.9000001
01feb2000,,5858,4.0999999,136598,13.8,74.415001,65.199997,4.8000002
01mar2000,,5733,4,136701,13.85,74.568001,65.300003,4.8000002
01apr2000,,5481,3.8,137270,13.89,74.616997,65.300003,4.9000001
01may2000,,5758,4,136630,13.94,74.696999,65.400002,4.9000001
01jun2000,,5651,4,136940,13.98,74.753998,65.5,5
01jul2000,,5747,4,136531,14.02,74.925003,65.699997,5.0999999
01aug2000,,5853,4.0999999,136662,14.07,75.021004,65.900002,5.0999999
01sep2000,,5625,3.9000001,136893,14.12,75.203003,66.099998,5.1999998
01oct2000,,5534,3.9000001,137088,14.17,75.307999,66.199997,5.1999998
01nov2000,,5639,3.9000001,137322,14.23,75.441002,66.300003,5.4000001
01dec2000,5088,5634,3.9000001,137614,14.29,75.514999,66.5,5.4000001
01jan2001,5234,6023,4.1999998,137778,14.29,75.795998,66.800003,5.4000001
01feb2001,5097,6089,4.1999998,137612,14.36,75.93,67,5.3000002
01mar2001,4762,6141,4.3000002,137783,14.42,76.009003,67.099998,5.3000002
01apr2001,4615,6271,4.4000001,137299,14.45,76.129997,67.199997,5.3000002
01may2001,4425,6226,4.3000002,137092,14.5,76.148003,67.300003,5.0999999
01jun2001,4361,6484,4.5,136873,14.54,76.318001,67.5,5.1999998
01jul2001,4447,6583,4.5999999,137071,14.55,76.514999,67.599998,5.0999999
01aug2001,4024,7042,4.9000001,136241,14.6,76.553001,67.800003,5.1999998
01sep2001,4071,7142,5,136846,14.63,76.117996,67.099998,5
01oct2001,3707,7694,5.3000002,136392,14.66,76.653999,67.900002,5
01nov2001,3775,8003,5.5,136238,14.71,76.809998,68,5
01dec2001,3677,8258,5.6999998,136047,14.74,76.828003,68.099998,5
01jan2002,3699,8182,5.6999998,135701,14.76,76.871002,68.099998,4.9000001
01feb2002,3436,8215,5.6999998,136438,14.78,77.017998,68.300003,4.6999998
01mar2002,3612,8304,5.6999998,136177,14.82,77.110001,68.5,4.5999999
01apr2002,3471,8599,5.9000001,136126,14.84,77.324997,68.599998,4.3000002
01may2002,3457,8399,5.8000002,136539,14.88,77.411003,68.800003,4.4000001
01jun2002,3412,8393,5.8000002,136415,14.93,77.533997,69,4.1999998
01jul2002,3367,8390,5.8000002,136413,14.97,77.692001,69.199997,4.0999999
01aug2002,3517,8304,5.6999998,136705,15.02,77.845001,69.400002,4
01sep2002,3301,8251,5.6999998,137302,15.05,77.972,69.599998,3.9000001
01oct2002,3479,8307,5.6999998,137008,15.11,78.038002,69.800003,3.8
01nov2002,3514,8520,5.9000001,136521,15.15,78.113998,69.900002,3.5
01dec2002,3169,8640,6,136426,15.2,78.186996,70.099998,3.5999999
01jan2003,3441,8520,5.8000002,137417,15.22,78.239998,70.300003,3.7
01feb2003,3229,8618,5.9000001,137482,15.28,78.348,70.5,3.9000001
01mar2003,3099,8588,5.9000001,137434,15.27,78.473999,70.800003,3.7
01apr2003,3108,8842,6,137633,15.28,78.560997,70.900002,3.5
01may2003,3289,8957,6.0999999,137544,15.33,78.674004,71.199997,3.5
01jun2003,3390,9266,6.3000002,137790,15.36,78.718002,71.400002,3.5999999
01jul2003,2981,9011,6.1999998,137474,15.4,78.915001,71.599998,3.7
01aug2003,3190,8896,6.0999999,137549,15.42,79.003998,71.800003,3.5
01sep2003,3091,8921,6.0999999,137609,15.42,79.113998,72,3.5
01oct2003,3305,8732,6,137984,15.42,79.260002,72.300003,3.4000001
01nov2003,3324,8576,5.8000002,138424,15.46,79.367996,72.5,3.4000001
01dec2003,3414,8317,5.6999998,138411,15.47,79.467003,72.599998,3.3
01jan2004,3424,8370,5.6999998,138472,15.51,79.670998,72.900002,3.3
01feb2004,3532,8167,5.5999999,138542,15.53,79.800003,73,3.4000001
01mar2004,3525,8491,5.8000002,138453,15.56,79.933998,73.099998,3.4000001
01apr2004,3511,8170,5.5999999,138680,15.59,80.141998,73.400002,3.4000001
01may2004,3710,8212,5.5999999,138852,15.63,80.251999,73.5,3.4000001
01jun2004,3337,8286,5.5999999,139174,15.67,80.378998,73.699997,3.3
01jul2004,3814,8136,5.5,139556,15.69,80.473999,73.900002,3.4000001
01aug2004,3541,7990,5.4000001,139573,15.73,80.504997,74,3.5
01sep2004,3821,7927,5.4000001,139487,15.78,80.655998,74.199997,3.7
01oct2004,3943,8061,5.5,139732,15.81,80.831001,74.300003,3.7
