date,WGT_lo,WGT_mo,WGT_ho
01-Jan-1997,4.0475907,4.0821996,4.9896979
01-Feb-1997,5.32445,4.4451761,4.4450698
01-Mar-1997,4.6520014,4.6520014,5.32445
01-Apr-1997,3.0045149,4.8015852,5.6838741
01-May-1997,3.4512055,4.2559614,4.879015
01-Jun-1997,4.5074873,5.3584223,4.8790164
01-Jul-1997,5.4726973,4.6520014,5.671339
01-Aug-1997,4.7923985,4.6520014,4.6518898
01-Sep-1997,4.3802652,4.732904,5.5568256
01-Oct-1997,2.8170877,5.1293292,5.580483
01-Nov-1997,4.8202057,4.7252917,5.0388675
01-Dec-1997,5.5568247,4.8790193,4.8790164
01-Jan-1998,3.9234633,4.4451761,5.5569863
01-Feb-1998,4.7923985,4.6692448,4.4450746
01-Mar-1998,3.9229515,4.8790164,5.1293292
01-Apr-1998,5.3345928,5.3404346,5.5662007
01-May-1998,5.5763602,4.8790164,6.8984723
01-Jun-1998,4.8790164,5.6089501,6.3817105
01-Jul-1998,6.4970341,5.1293292,5.4065604
01-Aug-1998,6.4538522,5.9201035,4.9761448
01-Sep-1998,3.0077486,4.8790164,5.7158413
01-Oct-1998,4.2048283,4.8790164,6.4536324
01-Nov-1998,5.6695328,4.8790164,6.5514569
01-Dec-1998,4.6520081,5.4633827,5.5569849
01-Jan-1999,3.3901575,4.2134018,6.4536357
01-Feb-1999,4.8790174,4.8790164,6.6015739
01-Mar-1999,4.5120463,5.7158413,6.3734083
01-Apr-1999,5.6076488,4.8790164,5.2655625
01-May-1999,4.7772326,4.8790164,6.3047075
01-Jun-1999,4.6520014,4.6520057,5.7158413
01-Jul-1999,5.4724879,4.8370504,6.2518272
01-Aug-1999,4.0821996,4.4568338,5.936461
01-Sep-1999,5.6352949,4.9350266,6.23843
01-Oct-1999,4.6520014,5.3109827,6.4536324
01-Nov-1999,4.0821996,4.8790164,6.0624623
01-Dec-1999,4.8790164,4.7146764,4.9304109
01-Jan-2000,5.4808249,4.4593382,5.7571325
01-Feb-2000,4.4451761,4.6520014,6.0607076
01-Mar-2000,3.1748743,4.5985069,5.4065342
01-Apr-2000,5.4782343,5.1384192,5.2704082
01-May-2000,4.6825032,4.6773105,6.0622773
01-Jun-2000,4.3485069,5.32445,6.0622363
01-Jul-2000,3.5091319,5.4488196,6.0624623
01-Aug-2000,7.4107971,4.6250973,5.7241373
01-Sep-2000,4.5462332,5.3109827,5.8691268
01-Oct-2000,3.923991,4.8790164,7.1705523
01-Nov-2000,5.8840513,5.6089444,5.8581915
01-Dec-2000,3.7740328,5.1293292,6.4538522
01-Jan-2001,5.7158413,4.6520014,6.612864
01-Feb-2001,5.4067221,5.4489489,5.4067221
01-Mar-2001,5.1293292,5.4065604,4.8791957
01-Apr-2001,4.6520014,5.1293292,6.7438884
01-May-2001,3.4560642,4.8790188,5.6037068
01-Jun-2001,5.7156677,5.1293292,6.3320208
01-Jul-2001,4.1242981,5.6618838,5.6073084
01-Aug-2001,4.0820723,4.8790164,5.884336
01-Sep-2001,4.6520014,4.8784413,4.8790164
01-Oct-2001,3.3901551,4.8827295,6.4258866
01-Nov-2001,2.4692612,4.7673469,6.7394404
01-Dec-2001,3.9418983,4.6697364,4.8780279
01-Jan-2002,4.8790164,4.4451761,5.4724913
01-Feb-2002,3.7740328,3.9238114,5.1944823
01-Mar-2002,4.6043921,3.3901551,5.3246727
01-Apr-2002,3.6469712,3.7641232,4.878849
01-May-2002,5.5385141,3.8881769,5.6626878
01-Jun-2002,2.2780027,3.9220731,5.1205587
01-Jul-2002,3.5932033,3.7740328,4.2550859
01-Aug-2002,3.6367645,4.5641274,4.0821977
01-Sep-2002,3.2819688,3.8466282,3.6370125
01-Oct-2002,3.5932045,2.8170877,4.6955147
01-Nov-2002,1.1187208,3.1941035,3.6367645
01-Dec-2002,4.2559614,3.2789824,4.0820532
01-Jan-2003,3.9654832,3.5091319,4.633183
01-Feb-2003,2.8987536,3.7740328,4.0820704
01-Mar-2003,2.876775,3.0771658,3.9746919
01-Apr-2003,2.612967,3.8466282,3.7738853
01-May-2003,2.334738,3.42994,4.9271049
01-Jun-2003,2.4097528,3.3970656,4.3017344
01-Jul-2003,2.9199126,3.3042569,4.082428
01-Aug-2003,2.5975487,3.2789824,3.9229584
01-Sep-2003,2.4036586,3.1010282,3.6367645
01-Oct-2003,3.3901575,3.2632711,3.9229515
01-Nov-2003,2.2059755,2.9852962,3.3096244
01-Dec-2003,3.8907685,2.8987536,3.7740328
01-Jan-2004,2.7398975,3.5627217,4.0388093
01-Feb-2004,1.5748357,3.5821323,3.9221759
01-Mar-2004,2.4600563,3.3275836,3.0771658
01-Apr-2004,2.817085,2.8170877,4.3172145
01-May-2004,2.6668248,3.3663735,4.0821996
01-Jun-2004,.86580956,2.9558775,3.5090044
01-Jul-2004,3.6367645,3.8394358,3.6367645
01-Aug-2004,3.2789824,3.333642,4.0151696
01-Sep-2004,3.5091319,3.7387497,4.373733
01-Oct-2004,2.562222,2.9948735,4.2558007
01-Nov-2004,2.4194744,3.2789824,4.0810328
01-Dec-2004,0,3.2789824,3.3187084
01-Jan-2005,2.4194744,3.7046304,4.2997804
01-Feb-2005,4.13552,3.0771658,3.4809384
01-Mar-2005,3.252316,3.1060236,4.0821996
01-Apr-2005,1.8018506,3.4635463,4.0822024
01-May-2005,2.5317783,3.3447936,3.9220712
01-Jun-2005,3.6105003,3.3396893,4.7521558
01-Jul-2005,3.5091319,3.8966007,4.6520624
01-Aug-2005,3.9220741,4.0822029,3.5784869
01-Sep-2005,2.1403944,3.6367645,4.8788319
01-Oct-2005,3.6943455,4.0820704,4.2400699
