date,WGT_lo_n,WGT_mo_n,WGT_ho_n
01-Jan-1997,2641522.899230957,11433643.05755615,8276884.835113525
01-Feb-1997,2649942.7578125,11658033.10644531,8193928.469360352
01-Mar-1997,2773449.480102539,12593111.46212769,7717910.890380859
01-Apr-1997,2753319.348999023,10791988.13659668,7915784.324707031
01-May-1997,2610611.457763672,11940633.64672852,8394012.26574707
01-Jun-1997,2815023.431335449,11272594.93481445,8033004.543457031
01-Jul-1997,3016369.803222656,13018963.46514893,8025787.87701416
01-Aug-1997,3210411.463134766,12364234.88845825,8167742.631622314
01-Sep-1997,3142260.499725342,11947152.84631348,8173811.309143066
01-Oct-1997,2787397.267059326,11615131.1307373,8293717.498046875
01-Nov-1997,2747740.076202393,12107499.53143311,7708620.578857422
01-Dec-1997,2931735.530670166,12231750.48934937,8057294.385375977
01-Jan-1998,3059384.196044922,11966778.76977539,8513745.354125977
01-Feb-1998,3039079.695739746,12661545.1499939,8918979.17590332
01-Mar-1998,2951799.79699707,12440271.20898438,8011763.981567383
01-Apr-1998,2908552.978820801,11962534.75106812,8224713.672363281
01-May-1998,2782847.632232666,11577045.4147644,7770662.065795898
01-Jun-1998,3026359.137451172,11659532.64047241,7806435.883239746
01-Jul-1998,2936162.670410156,12022989.57183838,7005880.973205566
01-Aug-1998,3042265.293121338,12680616.2197876,7667997.271789551
01-Sep-1998,3154102.357849121,11715316.38745117,7866351.16217041
01-Oct-1998,2709853.05657959,11966555.9463501,8329629.64855957
01-Nov-1998,2939767.141906738,12297065.13702393,7756899.760864258
01-Dec-1998,2616142.297851563,10656318.33312988,7783345.264709473
01-Jan-1999,2821260.141784668,11316378.01940918,7721411.583862305
01-Feb-1999,2904432.397216797,11006637.59307861,8297540.455566406
01-Mar-1999,2929587.443969727,11703977.23034668,8345350.928070068
01-Apr-1999,2563083.541259766,11345450.09082031,8094639.05456543
01-May-1999,2506969.902709961,11836080.14294434,7530829.591674805
01-Jun-1999,2966019.989746094,11741833.29858398,7825873.659606934
01-Jul-1999,2671641.214904785,11160650.29986572,7956003.859436035
01-Aug-1999,2851915.95916748,10787555.75857544,7766385.324035645
01-Sep-1999,2777760.918457031,10973323.8866272,8307264.613525391
01-Oct-1999,2693679.158752441,10824434.86254883,8709086.722229004
01-Nov-1999,2649418.001953125,11565018.21020508,8038509.511230469
01-Dec-1999,2649041.529541016,11201994.40246582,9375150.221313477
01-Jan-2000,2427007.834472656,10774998.24725342,8003219.829650879
01-Feb-2000,2534389.19519043,10629463.2376709,8188402.31060791
01-Mar-2000,2778851.066772461,11631383.65713501,8635575.424194336
01-Apr-2000,2596957.138671875,11153554.0553894,8018946.27331543
01-May-2000,2558580.759674072,10454225.24456787,7696857.147705078
01-Jun-2000,2511819.432983398,9720281.624694824,7747740.335266113
01-Jul-2000,2577467.855102539,10864470.51739502,7738428.798583984
01-Aug-2000,2513908.711791992,10615500.04443359,7083036.84777832
01-Sep-2000,2173679.031494141,10526238.20019531,8026561.069213867
01-Oct-2000,2335544.534423828,10301847.49475098,7887321.311950684
01-Nov-2000,2665485.958374023,9830963.154418945,7639222.888061523
01-Dec-2000,2605837.365905762,10886076.23138428,8139557.006286621
01-Jan-2001,2634673.211425781,11477197.77050781,8351648.251831055
01-Feb-2001,2628793.260864258,11217480.02423096,8477961.058380127
01-Mar-2001,2563267.97845459,12006570.57012939,9297064.548736572
01-Apr-2001,2618708.553222656,9769605.408935547,7965998.422607422
01-May-2001,2380811.358764648,10904460.91943359,7422965.963806152
01-Jun-2001,2529757.642944336,9770148.265380859,7214965.802856445
01-Jul-2001,2302205.796325684,8109847.366149902,6142829.508056641
