date,WGT_wr_n,WGT_or_n
01-Jan-1997,19724441.87158203,2627608.920318604
01-Feb-1997,19425863.11114502,3076041.222473145
01-Mar-1997,20138739.15100098,2945732.681610107
01-Apr-1997,19059948.90283203,2401142.907470703
01-May-1997,20308844.3795166,2636412.990722656
01-Jun-1997,19628354.82086182,2492268.088745117
01-Jul-1997,21057700.3717041,3003420.773681641
01-Aug-1997,21078007.93365479,2664381.049560547
01-Sep-1997,20463224.02319336,2800000.631988525
01-Oct-1997,19971209.43908691,2725036.456756592
01-Nov-1997,19741235.37124634,2822624.815246582
01-Dec-1997,20426355.53512573,2794424.870269775
01-Jan-1998,20664830.72363281,2875077.596313477
01-Feb-1998,21806756.60943604,2812847.412200928
01-Mar-1998,20611960.94189453,2791874.045654297
01-Apr-1998,20042578.59063721,3053222.81161499
01-May-1998,19480054.98446655,2650500.128326416
01-Jun-1998,19503093.67422485,2989233.986938477
01-Jul-1998,19170896.18353271,2794137.031921387
01-Aug-1998,20191725.84918213,3199152.935516357
01-Sep-1998,19877768.84326172,2858001.064208984
01-Oct-1998,20278737.27532959,2727301.376159668
01-Nov-1998,19814487.95202637,3179244.087768555
01-Dec-1998,18728348.46307373,2327457.432617188
01-Jan-1999,19200983.73205566,2658066.013000488
01-Feb-1999,19577327.27545166,2631283.170410156
01-Mar-1999,20102376.99133301,2876538.611053467
01-Apr-1999,19299117.58752441,2704055.099121094
01-May-1999,19375435.57263184,2498444.064697266
01-Jun-1999,19430857.2288208,3102869.719116211
01-Jul-1999,19123773.32623291,2664522.047973633
01-Aug-1999,18862484.43490601,2543372.606872559
01-Sep-1999,18843594.86883545,3214754.54977417
01-Oct-1999,19639810.90405273,2587389.839477539
01-Nov-1999,19198143.50402832,3054802.219360352
01-Dec-1999,20507071.75585938,2719114.397460938
01-Jan-2000,18098292.44989014,3106933.461486816
01-Feb-2000,18843874.54937744,2508380.194091797
01-Mar-2000,20481869.05361938,2563941.094482422
01-Apr-2000,18872117.23376465,2897340.233612061
01-May-2000,18107035.65646362,2602627.495483398
01-Jun-2000,17638443.21875,2341398.174194336
01-Jul-2000,18545659.4105835,2634707.760498047
01-Aug-2000,17738830.04724121,2473615.556762695
01-Sep-2000,17844485.56097412,2881992.739929199
01-Oct-2000,17844058.39093018,2680654.950195313
01-Nov-2000,17535336.63317871,2600335.367675781
01-Dec-2000,18923078.24713135,2708392.356445313
01-Jan-2001,19398499.16210938,3065020.071655273
01-Feb-2001,19731911.4961853,2592322.847290039
01-Mar-2001,20893210.50100708,2973692.596313477
01-Apr-2001,17613258.46435547,2741053.920410156
01-May-2001,17898114.21484375,2810124.027160645
01-Jun-2001,16686010.26367188,2828861.447509766
01-Jul-2001,14216597.85766602,2338284.812866211
01-Aug-2001,14830003.37207031,2412383.107910156
01-Sep-2001,14503371.26416016,2678241.909179688
01-Oct-2001,14585467.89361572,2213450.867431641
01-Nov-2001,14782220.28411865,2462766.156494141
01-Dec-2001,15416885.45916748,2534623.19909668
01-Jan-2002,15197742.95013428,2222977.914794922
01-Feb-2002,17224452.64813232,2501323.199920654
01-Mar-2002,16982986.66818237,2514057.381347656
01-Apr-2002,14657099.33966064,2329976.494293213
01-May-2002,14317575.71875,2507290.208190918
01-Jun-2002,14136988.33288574,2139968.095947266
01-Jul-2002,17374941.66461182,2575675.786895752
01-Aug-2002,17554195.47369385,2550291.001953125
01-Sep-2002,16324654.97314453,2572650.931060791
01-Oct-2002,17392709.2020874,2504596.050964355
01-Nov-2002,16907550.77862549,2452171.143798828
01-Dec-2002,17451976.89508057,2526472.675811768
01-Jan-2003,16943829.34222412,2714523.978240967
01-Feb-2003,18816234.98522949,3236140.949584961
01-Mar-2003,18350165.44873047,2950444.529693604
01-Apr-2003,18052289.37536621,2661928.970657349
01-May-2003,17220199.7565918,2302933.629272461
01-Jun-2003,16723693.58666992,2625177.33694458
01-Jul-2003,17171827.65374756,2691739.608276367
01-Aug-2003,17220110.78308105,2419798.665466309
01-Sep-2003,16773278.27612305,2516888.03187561
01-Oct-2003,16282500.23175049,2718558.937347412
01-Nov-2003,16076459.22332764,2863499.981719971
01-Dec-2003,16508886.29589844,2639260.210998535
01-Jan-2004,17596098.48138428,2535518.581298828
01-Feb-2004,19655060.73529053,2946968.681335449
01-Mar-2004,18066651.54421997,3173948.612548828
01-Apr-2004,16572543.96643066,2483581.273010254
01-May-2004,16386610.70916748,2444031.166366577
01-Jun-2004,16030328.93359375,2978376.942871094
01-Jul-2004,16497589.05181885,2958119.113128662
01-Aug-2004,16341835.54391479,2290592.840576172
01-Sep-2004,15774829.04943848,1956347.702453613
01-Oct-2004,16406751.58990479,2275484.951446533
01-Nov-2004,14152129.56027222,2279711.076965332
01-Dec-2004,14009906.41949463,1895946.983184814
01-Jan-2005,14202426.7208252,1940748.996704102
01-Feb-2005,15751318.70993042,2561564.957519531
01-Mar-2005,16457746.66412354,2831056.691467285
01-Apr-2005,14524581.85446167,2610240.254302979
01-May-2005,14685688.35217285,2120616.645233154
01-Jun-2005,14888301.46673584,2015515.550125122
01-Jul-2005,15235424.38415527,2161344.768859863
01-Aug-2005,15295595.48626709,2847232.575805664
01-Sep-2005,14043461.24108887,2445967.01550293
01-Oct-2005,15056292.31762695,2424172.158874512
01-Nov-2005,17728796.97521973,2691911.897399902
01-Dec-2005,17121857.46673584,2744783.154418945
01-Jan-2006,18159596.90435791,2866017.976287842
01-Feb-2006,19250528.73101807,3045108.967346191
01-Mar-2006,19149528.5012207,2965538.149230957
01-Apr-2006,17008031.50537109,2610197.21661377
01-May-2006,16726106.4296875,2473798.762512207
01-Jun-2006,16477383.89172363,2411493.457946777
01-Jul-2006,17645246.715271,3184255.823852539
01-Aug-2006,17590751.17730713,2722629.608886719
01-Sep-2006,17792937.54467773,2740066.359680176
01-Oct-2006,17204493.26580811,2389226.705566406
01-Nov-2006,17664370.91955566,2505173.630065918
01-Dec-2006,17512357.89349365,2632830.590942383
01-Jan-2007,18262192.38061523,3028967.861999512
01-Feb-2007,19626121.43151855,2759411.078552246
01-Mar-2007,19264923.88427734,3250200.608947754
01-Apr-2007,17635588.73657227,2659496.452270508
