date,WGT_pac,WGT_esc,WGT_wsc,WGT_mnt,WGT_nen,WGT_sat,WGT_wnc,WGT_enc,WGT_mat
01-Jan-1997,4.5079579,3.7537961,3.9220712,6.5382757,4.0821996,4.6469359,4.9479761,5.6315155,3.1657276
01-Feb-1997,4.257791,2.9600458,5.4067221,6.1557894,5.2643747,3.6367645,4.7939477,5.0010476,4.4451761
01-Mar-1997,3.9221759,4.3483644,5.7158413,4.4451761,2.8675773,4.8455896,6.3248968,5.5057721,4.7252917
01-Apr-1997,2.2785082,2.9853005,8.2235718,4.8788271,3.2789824,7.6959643,4.4115462,5.1293292,4.3802652
01-May-1997,3.7740328,6.4397602,4.0821996,5.4067221,4.5748773,3.8151808,4.4450746,5.1293292,3.5366442
01-Jun-1997,5.4067221,4.2559614,5.7158389,6.4538522,3.7675653,5.6663866,4.5462375,4.3485112,4.5985069
01-Jul-1997,4.8059635,5.6089501,4.4735861,9.5310183,5.1585803,3.9220712,4.8790164,5.8356175,4.4335833
01-Aug-1997,4.2559614,4.6043954,3.6813972,4.2132468,5.4067221,5.4067221,5.7158413,3.884902,5.5059485
01-Sep-1997,5.5292177,3.9220712,5.2922401,5.9316597,3.7387497,5.6399579,4.915359,4.6184039,4.5118675
01-Oct-1997,3.545248,3.4876976,4.6520014,6.5813217,6.4538536,5.322474,7.210331,6.4399023,4.0821996
01-Nov-1997,4.8790164,4.7764573,5.4067221,7.9249392,5.8944297,4.3483591,4.2265239,4.8788319,3.7555358
01-Dec-1997,5.310986,6.1848245,5.2869425,6.4538522,5.1291428,5.129283,5.7158413,4.8788319,3.3901551
01-Jan-1998,5.7629099,3.6367645,8.0852118,5.6816492,4.8790164,4.332263,4.8790164,4.4451761,2.9852962
01-Feb-1998,4.5610499,5.3574467,3.9220712,4.928813,4.3825512,5.1293292,5.4067221,4.7923985,3.2794235
01-Mar-1998,4.0821996,5.2340569,4.5171695,5.1291337,5.1293292,5.1293292,5.7158413,4.9686251,4.0821996
01-Apr-1998,4.4451761,5.6570373,5.6089501,6.8992872,5.9145112,6.97333,5.4260693,4.1671348,5.5579042
