date,WGT_pac_n,WGT_esc_n,WGT_wsc_n,WGT_mnt_n,WGT_nen_n,WGT_sat_n,WGT_wnc_n,WGT_enc_n,WGT_mat_n
01-Jan-1997,3159235.118530273,1218099.072265625,2252652.993652344,1577707.743041992,1127222.688232422,3904800.50378418,2064285.346710205,4018018.565917969,3030028.759765625
01-Feb-1997,3029559.117797852,1424392.245117188,2292818.741210938,1542087.952148438,1206356.377441406,3930365.951171875,1830092.126953125,4399503.574707031,2846728.247070313
01-Mar-1997,3234889.874511719,1399333.53515625,2434940.322753906,1389152.861938477,1191735.350219727,4229607.260131836,2088519.80758667,3935137.446777344,3181155.373535156
01-Apr-1997,3113660.572265625,1151171.13671875,2362452.622558594,1395863.039916992,1148743.03125,3738581.524291992,1841822.778320313,4095471.575683594,2613325.529296875
01-May-1997,2970132.767333984,1628802.891113281,2226277.896972656,1578842.358154297,1316004.290405273,3926598.545654297,2016158.500488281,4291029.733398438,2991410.38671875
01-Jun-1997,3447652.067260742,1330515.750976563,2152626.548828125,1287230.583190918,1263746.876953125,3726391.311645508,1957403.266357422,4082010.360839844,2873046.143554688
01-Jul-1997,3278650.182006836,1806912.994140625,2285510.649902344,1588656.116333008,1208295.144042969,4209919.974487305,2163326.83984375,4430607.651855469,3089241.592773438
01-Aug-1997,3640039.567932129,1250500.146484375,2597236.524414063,1412250.257568359,1175949.530029297,4186175.06628418,2122498.408569336,4387805.439941406,2969934.041992188
01-Sep-1997,3716521.50012207,1362607.1171875,2267763.639160156,1499988.34362793,1094734.028442383,4414933.411743164,1997000.937164307,4136622.885253906,2773052.792480469
01-Oct-1997,3860813.296386719,1494309.471191406,2339546.813964844,1323392.170410156,1338332.367431641,3831740.315917969,1936762.053314209,3572161.505859375,2999187.901367188
01-Nov-1997,3446322.909057617,1404224.211425781,2462448.103515625,1317518.11050415,1267525.788818359,3655822.654907227,2092972.023010254,4129437.925292969,2787588.459960938
01-Dec-1997,3721530.816650391,1554079.071289063,2555801.829101563,1325459.882537842,1237809.239257813,3911461.649536133,2015504.144561768,4077120.421875,2822013.350585938
01-Jan-1998,3171144.364013672,1685270.496582031,2360793.229003906,1436189.362060547,1287837.78894043,4424095.493286133,2015948.699829102,4264492.693359375,2894136.192871094
01-Feb-1998,3622250.799926758,1397691.834472656,2488925.333007813,1616680.779052734,1129796.919921875,4283294.703857422,2379059.289581299,4451732.632324219,3250171.729492188
01-Mar-1998,3041822.700073242,1825099.911621094,2311441.449951172,1490644.73840332,1341870.616088867,3898684.938964844,2203416.409790039,4190537.996582031,3100316.226074219
01-Apr-1998,3692715.011474609,1133633.7578125,2337921.598876953,1732220.809570313,1233017.755371094,4010153.022949219,2009373.564361572,4238755.040039063,2708010.841796875
01-May-1998,3003017.500976563,1401519.719238281,2409512.893066406,1315476.741424561,1139319.889160156,3973270.96496582,1775406.380523682,4296829.673828125,2816201.349609375
01-Jun-1998,3567949.506958008,1182561.134765625,2490534.716796875,1287391.732818604,1401337.101806641,4160027.396240234,1739213.380859375,4173302.895507813,2490009.795410156
01-Jul-1998,2967117.417114258,1185838.642822266,2291168.086181641,1376705.590026855,1157473.244628906,3986086.208496094,2139711.299621582,4422591.681640625,2438341.044921875
01-Aug-1998,3613046.371459961,1654255.006347656,2093706.60546875,1278337.573425293,1195477.479003906,4137985.526123047,1840902.086151123,4704807.869628906,2872360.267089844
01-Sep-1998,3538019.34753418,1426894.389648438,2067418.75,1383690.781982422,1350772.28527832,3842375.578735352,1877029.508178711,4238744.327148438,3010824.938964844
01-Oct-1998,2702743.945800781,1279302.16796875,2639061.495117188,1533060.356018066,1153557.168579102,4220189.939331055,2133253.233459473,4438607.921386719,2906262.423828125
01-Nov-1998,3191972.237060547,1295980.373535156,2390499.008300781,1522973.010009766,1248300.958251953,4278302.595703125,2124709.273925781,4284055.3203125,2656939.262695313
01-Dec-1998,2984794.085571289,1261068.932617188,2271615.349609375,1301977.281433105,978881.3635253906,3980849.628051758,1869151.448242188,3876851.846191406,2530615.960449219
01-Jan-1999,2966564.917602539,1378508.33203125,2380164.627929688,1478280.315185547,1312169.633178711,3932490.629760742,1828882.52130127,3964794.805664063,2617193.962402344
