date,ahe,ahe_serv,atlfed_wgt,atlfed_wgt_serv
31-Jan-1983,,,6.5,
28-Feb-1983,,,6.0999999,
31-Mar-1983,,,5.6999998,
30-Apr-1983,,,5.6999998,
31-May-1983,,,5.8000002,
30-Jun-1983,,,5.4000001,
31-Jul-1983,,,5.8000002,
31-Aug-1983,,,4.9000001,
30-Sep-1983,,,4.8000002,
31-Oct-1983,,,5.4000001,
30-Nov-1983,,,5.4000001,
31-Dec-1983,,,5.3000002,
31-Jan-1984,,,5.3000002,
29-Feb-1984,,,5.3000002,
31-Mar-1984,,,5.6999998,
30-Apr-1984,,,5.3000002,
31-May-1984,,,5.4000001,
30-Jun-1984,,,5.6999998,
31-Jul-1984,,,4.9000001,
31-Aug-1984,,,5.9000001,
30-Sep-1984,,,5.5999999,
31-Oct-1984,,,5.1999998,
30-Nov-1984,,,5.5,
31-Dec-1984,,,5.5,
31-Jan-1985,,,5.1999998,
28-Feb-1985,,,5.5999999,
31-Mar-1985,,,5.5,
30-Apr-1985,,,5,
31-May-1985,,,5.5,
30-Jun-1985,,,5,
31-Jul-1985,,,,
31-Aug-1985,,,,
30-Sep-1985,,,,
31-Oct-1985,,,,
30-Nov-1985,,,,
31-Dec-1985,,,,
31-Jan-1986,,,,
28-Feb-1986,,,,
31-Mar-1986,,,,
30-Apr-1986,,,,
31-May-1986,,,,
30-Jun-1986,,,,
31-Jul-1986,,,,
31-Aug-1986,,,,
30-Sep-1986,,,,
31-Oct-1986,,,4.9000001,
30-Nov-1986,,,4.9000001,
31-Dec-1986,,,4.9000001,
31-Jan-1987,,,4.9000001,
28-Feb-1987,,,4.9000001,
31-Mar-1987,,,4.9000001,
30-Apr-1987,,,5,
31-May-1987,,,4.9000001,
30-Jun-1987,,,4.5,
31-Jul-1987,,,4.8000002,
31-Aug-1987,,,5.0999999,
30-Sep-1987,,,4.8000002,
31-Oct-1987,,,4.5,
30-Nov-1987,,,4.9000001,
31-Dec-1987,,,4.9000001,
31-Jan-1988,,,4.9000001,
29-Feb-1988,,,4.9000001,
31-Mar-1988,,,5.3000002,
30-Apr-1988,,,5.0999999,
31-May-1988,,,4.9000001,
30-Jun-1988,,,5.5999999,
31-Jul-1988,,,5.3000002,
31-Aug-1988,,,4.9000001,
30-Sep-1988,,,5.3000002,
31-Oct-1988,,,5.0999999,
30-Nov-1988,,,5.4000001,
31-Dec-1988,,,5.0999999,
31-Jan-1989,,,5.8000002,
28-Feb-1989,,,5.3000002,
31-Mar-1989,,,5.4000001,
30-Apr-1989,,,5.8000002,
31-May-1989,,,5.1999998,
30-Jun-1989,,,5.4000001,
31-Jul-1989,,,5.6999998,
31-Aug-1989,,,5.5999999,
30-Sep-1989,,,5.6999998,
31-Oct-1989,,,5.8000002,
30-Nov-1989,,,5.6999998,
31-Dec-1989,,,5.4000001,
31-Jan-1990,,,5.0999999,
28-Feb-1990,,,5.5999999,
31-Mar-1990,,,5.5999999,
30-Apr-1990,,,5.3000002,
31-May-1990,,,5.3000002,
30-Jun-1990,,,6.0999999,
31-Jul-1990,,,6.1999998,
31-Aug-1990,,,5.6999998,
30-Sep-1990,,,5.6999998,
31-Oct-1990,,,5.6999998,
30-Nov-1990,,,5.5,
31-Dec-1990,,,5.5999999,
31-Jan-1991,,,5.6999998,
28-Feb-1991,,,5.4000001,
31-Mar-1991,,,5.0999999,
30-Apr-1991,,,5.4000001,
31-May-1991,,,5.0999999,
30-Jun-1991,,,5.0999999,
31-Jul-1991,,,5.0999999,
31-Aug-1991,,,5.3000002,
30-Sep-1991,,,5.0999999,
31-Oct-1991,,,4.9000001,
30-Nov-1991,,,4.9000001,
31-Dec-1991,,,4.9000001,
31-Jan-1992,,,4.6999998,
29-Feb-1992,,,4.4000001,
31-Mar-1992,,,4.3000002,
30-Apr-1992,,,3.9000001,
31-May-1992,,,4.0999999,
30-Jun-1992,,,4.3000002,
31-Jul-1992,,,3.9000001,
31-Aug-1992,,,4.5,
30-Sep-1992,,,4.3000002,
31-Oct-1992,,,4.0999999,
30-Nov-1992,,,4.0999999,
31-Dec-1992,,,4.0999999,
31-Jan-1993,,,4,
28-Feb-1993,,,3.9000001,
31-Mar-1993,,,3.9000001,
30-Apr-1993,,,4,
31-May-1993,,,3.7,
30-Jun-1993,,,4.3000002,
31-Jul-1993,,,3.8,
31-Aug-1993,,,4.0999999,
30-Sep-1993,,,4.1999998,
31-Oct-1993,,,3.9000001,
30-Nov-1993,,,4.0999999,
31-Dec-1993,,,4.3000002,
31-Jan-1994,,,3.8,
