date,compperhour,eci,eci_serv
31-Mar-1947,,,
30-Jun-1947,,,
30-Sep-1947,,,
31-Dec-1947,,,
31-Mar-1948,9.841197,,
30-Jun-1948,8.9402733,,
30-Sep-1948,8.0371103,,
31-Dec-1948,6.6691375,,
31-Mar-1949,4.9294558,,
30-Jun-1949,3.7879331,,
30-Sep-1949,2.0024073,,
31-Dec-1949,.72576785,,
31-Mar-1950,2.6790733,,
30-Jun-1950,4.6402678,,
30-Sep-1950,6.3588662,,
31-Dec-1950,9.1499395,,
31-Mar-1951,8.9756012,,
30-Jun-1951,9.0189333,,
30-Sep-1951,8.162118,,
31-Dec-1951,7.5554686,,
31-Mar-1952,6.2450614,,
30-Jun-1952,4.7921257,,
30-Sep-1952,4.909761,,
31-Dec-1952,5.526268,,
31-Mar-1953,5.6124845,,
30-Jun-1953,6.0586743,,
30-Sep-1953,5.8664827,,
31-Dec-1953,4.3498311,,
31-Mar-1954,4.0265832,,
30-Jun-1954,2.9656866,,
30-Sep-1954,2.7020676,,
31-Dec-1954,2.7147453,,
31-Mar-1955,2.5779119,,
30-Jun-1955,3.2796149,,
30-Sep-1955,4.2665014,,
31-Dec-1955,4.170022,,
31-Mar-1956,5.0192423,,
30-Jun-1956,6.110456,,
30-Sep-1956,5.8835173,,
31-Dec-1956,6.6661568,,
31-Mar-1957,6.5334382,,
30-Jun-1957,5.6235533,,
30-Sep-1957,5.3900652,,
31-Dec-1957,5.0566888,,
31-Mar-1958,3.6489403,,
30-Jun-1958,3.5481176,,
30-Sep-1958,4.5269861,,
31-Dec-1958,3.5997753,,
31-Mar-1959,4.5780096,,
30-Jun-1959,4.5223436,,
30-Sep-1959,2.8100114,,
31-Dec-1959,3.3520949,,
31-Mar-1960,4.4827151,,
30-Jun-1960,4.2819066,,
30-Sep-1960,4.3023901,,
31-Dec-1960,3.7615387,,
31-Mar-1961,2.5347834,,
30-Jun-1961,3.2866807,,
30-Sep-1961,3.4395697,,
31-Dec-1961,3.753248,,
31-Mar-1962,4.45154,,
30-Jun-1962,3.7259073,,
30-Sep-1962,3.6848495,,
31-Dec-1962,3.8640695,,
31-Mar-1963,3.2640781,,
30-Jun-1963,3.1079235,,
30-Sep-1963,3.4205289,,
31-Dec-1963,3.6411626,,
