date,WGT_q1,WGT_q2,WGT_q3,WGT_q4
01-Jan-1997,5.0010452,4.5462375,4.3793573,4.08285
01-Feb-1997,5.4067221,4.8486795,4.2559614,3.6436501
01-Mar-1997,4.8790174,5.5569849,5.5113244,3.9560161
01-Apr-1997,6.1693554,5.1293292,4.0821996,4.5460815
01-May-1997,5.4067221,4.4451761,3.7740328,3.8226373
01-Jun-1997,7.696104,5.7158413,4.0821996,3.9221759
01-Jul-1997,8.007185,5.1587348,3.7729204,4.5459876
01-Aug-1997,6.8992872,4.8790164,3.9710281,3.6991649
01-Sep-1997,7.210331,4.2711077,4.6423302,4.8202662
01-Oct-1997,5.8268943,4.8790164,4.7436872,4.3062186
01-Nov-1997,7.4107971,5.2095108,3.5091319,3.9221759
01-Dec-1997,8.0852118,3.7139587,4.4451761,4.3347187
01-Jan-1998,6.4538522,4.4451761,4.082202,4.4973369
01-Feb-1998,6.4538522,5.2643733,4.3774815,3.4191332
01-Mar-1998,6.8053465,4.6280732,3.9220712,4.5991578
01-Apr-1998,7.2320633,5.2562294,4.5610499,4.3485112
01-May-1998,6.8992887,5.7158413,4.2648873,5.1293292
01-Jun-1998,8.7011375,4.8790164,3.9220712,6.3057103
01-Jul-1998,7.4107971,6.3042216,3.9226024,4.7626319
01-Aug-1998,7.696104,5.9201035,4.725934,4.0820704
01-Sep-1998,4.6520014,4.8790164,5.7158413,4.6520014
01-Oct-1998,6.4538522,4.5462332,4.9836864,5.2740402
01-Nov-1998,5.6695328,6.0624623,5.1051569,5.4067221
01-Dec-1998,6.6691375,5.7158413,3.9478836,4.8790164
01-Jan-1999,6.0624623,4.4451761,4.0460601,5.1293292
01-Feb-1999,6.7658629,5.4067221,4.2205434,4.8790164
01-Mar-1999,6.8992887,6.0624623,4.871347,5.3344154
01-Apr-1999,6.2974777,5.7158413,5.000843,4.1168613
01-May-1999,6.4538522,4.5462375,5.7158413,5.1293292
01-Jun-1999,4.8202057,5.6089501,4.1964226,5.3109827
01-Jul-1999,6.4538498,5.7158413,4.4438901,4.7789187
01-Aug-1999,4.8790193,4.8790164,4.2366428,4.9313316
01-Sep-1999,6.4538522,5.1293292,4.8790164,5.1646838
01-Oct-1999,6.4538522,5.7158413,4.7252917,5.4110332
01-Nov-1999,4.9979916,5.6089501,5.1761956,4.7259307
01-Dec-1999,4.7402239,4.8829279,6.0624623,4.1342936
01-Jan-2000,5.4808249,4.3017344,5.0430856,5.3107824
01-Feb-2000,5.8840499,4.9982624,5.4808235,4.4451761
01-Mar-2000,6.0624623,4.4451761,4.5460815,4.5936022
01-Apr-2000,5.7158413,5.1293292,5.1304932,5.1293292
01-May-2000,6.0103908,5.2643733,4.7790651,4.6187692
01-Jun-2000,6.5382757,4.6520014,5.7881289,5.4070835
01-Jul-2000,6.2242374,4.8790164,4.3802652,5.6352935
01-Aug-2000,5.129333,5.7158413,4.8790135,5.1291513
01-Sep-2000,6.0624623,4.9291244,5.4104257,4.7822809
01-Oct-2000,5.7158413,5.5688872,5.1959753,5.675283
01-Nov-2000,6.8992872,4.6520014,5.8838711,5.4067221
01-Dec-2000,6.2520356,4.6520014,4.6149817,5.7241426
01-Jan-2001,5.7158413,5.4517612,5.1843538,4.8791919
01-Feb-2001,6.7364054,4.8790164,5.2185755,4.6520014
01-Mar-2001,6.8992872,5.3567739,3.8899677,4.2167182
01-Apr-2001,6.4538522,5.1247139,5.4267097,4.9874358
01-May-2001,5.2274528,4.7785306,5.038115,5.4070854
01-Jun-2001,6.3047004,5.4067221,5.1293292,5.7811632
01-Jul-2001,6.4538522,4.4450746,6.2328253,4.8790164
01-Aug-2001,6.4538522,4.9044709,5.0008478,4.6518335
01-Sep-2001,5.7158413,4.0821953,5.3704181,4.0820532
01-Oct-2001,4.4451761,5.9719272,5.1304927,4.8790164
01-Nov-2001,4.8729177,4.8788939,5.242219,4.878829
01-Dec-2001,5.4067221,4.6501904,4.1964226,4.8007598
01-Jan-2002,5.1291938,4.6002169,4.8788319,5.1286168
01-Feb-2002,5.5569849,3.5627217,4.0820651,4.4451761
01-Mar-2002,4.4451761,4.1769395,4.879015,3.6302743
01-Apr-2002,4.879015,3.7641232,3.3901589,4.4451761
01-May-2002,4.2820044,4.4997382,3.8221214,5.1291513
01-Jun-2002,4.3735404,3.9220712,4.6526613,4.6520014
01-Jul-2002,3.6367552,3.9220712,3.1861155,5.3860054
01-Aug-2002,4.4745951,3.9618204,4.5120435,4.4711843
01-Sep-2002,4.4835052,2.6057529,3.4919751,3.6370125
01-Oct-2002,3.9220676,3.0305321,3.6122301,4.0821996
01-Nov-2002,1.8809344,4.2559614,2.9384074,2.6667273
01-Dec-2002,3.599946,4.1781497,1.913412,4.6520014
01-Jan-2003,3.0459177,4.0821996,3.9220712,4.779067
01-Feb-2003,3.0771658,4.2949271,3.4401381,4.0820704
01-Mar-2003,2.9712832,3.7740328,3.2788711,3.174876
01-Apr-2003,4.0421906,2.9475851,3.484673,3.9220712
01-May-2003,1.8868467,4.2559614,4.5809536,4.2559614
01-Jun-2003,2.9768329,3.2096157,3.9197035,4.0821996
01-Jul-2003,3.0771658,3.4668131,3.6988637,4.1449461
01-Aug-2003,2.5975487,4.1612225,3.3115609,3.2788711
01-Sep-2003,2.8987536,4.1278391,2.1294093,4.08248
01-Oct-2003,2.5317807,4.8790164,3.7686949,3.0463428
01-Nov-2003,3.0305321,3.6725984,2.469259,2.482281
01-Dec-2003,1.192856,4.0821996,3.5130413,3.6367645
01-Jan-2004,3.1252513,3.6367645,3.5096123,3.9222922
01-Feb-2004,3.2157111,3.6366274,2.7272112,3.9221685
01-Mar-2004,2.7309179,3.4840534,3.2789812,3.278857
01-Apr-2004,1.971893,4.6502423,3.177788,3.1089399
01-May-2004,3.3901551,2.8007622,2.8612311,4.7626286
01-Jun-2004,2.9934244,2.9192688,2.8986609,2.942651
01-Jul-2004,3.9780905,3.8466282,3.9239016,2.8586588
01-Aug-2004,2.5317807,3.86218,3.291683,4.2559614
01-Sep-2004,3.8714538,3.9220712,2.8170877,4.4853649
01-Oct-2004,2.5975487,4.0821996,2.8987525,3.5091319
01-Nov-2004,3.0771658,4.0821996,3.3427064,3.2789824
01-Dec-2004,2.6668248,2.6976545,2.9558871,3.8106194
01-Jan-2005,3.5091319,3.7740328,3.811897,4.6514821
01-Feb-2005,3.1090608,3.0077426,3.9553113,3.4036019
01-Mar-2005,2.8170877,4.0821133,4.2124915,3.5716763
01-Apr-2005,3.0305321,3.6367645,4.2559614,3.6366274
01-May-2005,5.6213093,2.6244044,1.4606199,4.036974
01-Jun-2005,2.8987556,4.2559614,3.5233452,5.0008478
01-Jul-2005,3.063694,4.0821996,4.9885654,3.9226077
01-Aug-2005,4.2559614,4.4451761,3.7738817,3.4580338
01-Sep-2005,1.6438684,5.310986,4.1473222,3.9222922
01-Oct-2005,5.1293292,3.6923349,4.2558208,4.0821996
01-Nov-2005,4.6043921,4.7785354,4.1890903,3.9388998
01-Dec-2005,4.8527021,3.6717584,4.0672903,2.3789515
01-Jan-2006,4.6520014,4.9335885,2.9005754,3.9674585
01-Feb-2006,3.2347889,3.6275036,3.4350719,3.3901551
01-Mar-2006,4.6520014,3.7740328,3.9228222,3.9224336
01-Apr-2006,3.2789824,4.0821996,4.3485069,3.8474941
01-May-2006,2.9653006,4.0821996,3.4685581,3.7740328
01-Jun-2006,3.938334,3.5091319,3.3096244,4.0820704
01-Jul-2006,3.5354505,3.571805,4.09654,3.6367645
01-Aug-2006,4.5610499,3.9220748,3.5849631,4.7091579
01-Sep-2006,2.921339,4.1579204,4.7206473,3.9229515
01-Oct-2006,2.8170877,3.9159269,3.5474367,3.7738853
01-Nov-2006,4.6043921,3.953084,4.8790164,4.8793445
01-Dec-2006,4.3682976,4.7287526,2.1768384,4.0821996
01-Jan-2007,4.7067466,4.4451761,4.02739,3.9226024
01-Feb-2007,5.3540783,3.1130962,3.9221759,3.6366274
01-Mar-2007,6.2118473,3.9220748,4.0821996,5.3107915
01-Apr-2007,3.7870264,4.6883616,3.3633256,3.9229515
01-May-2007,3.7740328,4.2559614,3.3327346,4.0820441
01-Jun-2007,2.9261212,3.9821472,4.5460768,4.0824757
01-Jul-2007,5.7158413,4.0821996,4.2559614,4.8204098
01-Aug-2007,5.6570373,3.953084,3.9106243,4.0820441
01-Sep-2007,5.1293292,3.6367645,4.652,4.5254912
01-Oct-2007,4.0821996,4.5120435,4.8790164,3.289731
01-Nov-2007,4.6520014,4.6520004,4.0821996,4.0821991
01-Dec-2007,5.8840499,3.2725434,4.6520014,2.9766848
01-Jan-2008,3.9220738,2.8170846,3.8221197,3.1865759
01-Feb-2008,4.8790164,3.5091319,4.9500666,3.9223261
01-Mar-2008,4.9562097,3.7740328,4.0198698,4.2557931
01-Apr-2008,3.6525805,4.3512368,3.9229515,5.3821297
01-May-2008,4.6520014,3.7795229,4.4451761,4.0820608
01-Jun-2008,4.8790164,4.8949413,3.9139822,3.4535718
01-Jul-2008,4.8790197,3.4401395,4.1671348,3.9087403
01-Aug-2008,3.2789857,3.953084,4.0058742,4.0820532
01-Sep-2008,2.6668248,4.6533885,3.7522418,4.4997368
01-Oct-2008,4.3083634,3.4486177,3.7738853,4.7785354
01-Nov-2008,3.6663949,3.1785352,4.3483601,3.6367645
01-Dec-2008,3.1748698,3.2588232,3.0771658,3.7740328
01-Jan-2009,3.201216,2.6037798,3.7039816,3.6370108
01-Feb-2009,2.9852984,3.2789824,2.9360628,2.9465892
01-Mar-2009,2.9303012,3.2789824,3.7660198,2.8986506
01-Apr-2009,2.9674361,3.5091319,2.7358048,3.5104835
01-May-2009,3.5091319,4.0698905,3.422107,2.4096603
01-Jun-2009,2.5317807,2.8987536,1.9169918,2.5317807
01-Jul-2009,2.9852962,1.9930329,2.5316825,2.8203816
01-Aug-2009,0,1.1385293,1.9942478,1.9273322
01-Sep-2009,2.4692612,2.0396638,2.3097529,2.621932
01-Oct-2009,2.9705126,1.8746059,2.0513618,2.1983805
01-Nov-2009,1.9802583,2.460577,1.7575175,1.5749143
01-Dec-2009,2.3256841,0,.835491,1.0050336
01-Jan-2010,2.2472856,1.5748341,2.3339381,1.2068957
01-Feb-2010,1.9802608,2.0202708,2.0884976,2.2471445
01-Mar-2010,2.4097552,1.4184622,1.1173301,2.0621781
01-Apr-2010,.85251522,.39139143,2.6668248,1.8017869
01-May-2010,.58651417,.15820856,1.3979293,2.1983805
01-Jun-2010,3.1748698,2.0619287,.51151007,1.7094433
01-Jul-2010,2.4692612,1.0657268,.91368967,2.6668248
01-Aug-2010,1.0737108,2.5316787,1.390395,2.1408391
01-Sep-2010,.62696368,2.0619287,1.6129366,2.0202703
01-Oct-2010,.90498698,.80322027,.45373994,1.1834047
01-Nov-2010,1.6086097,2.4001091,1.2701319,1.36052
01-Dec-2010,1.9418015,.63566011,1.6616716,2.5981276
01-Jan-2011,.52770776,2.0618649,0,2.7365253
01-Feb-2011,1.3605639,1.8349138,1.0198406,2.3809721
01-Mar-2011,.6779713,2.0202708,.10576658,2.6202374
01-Apr-2011,1.2048384,2.3878298,2.105341,1.5504186
01-May-2011,.90498698,2.9852962,2.2475994,2.3420274
01-Jun-2011,0,1.740027,1.9802628,3.3896711
01-Jul-2011,1.9802608,1.7637141,1.8691447,1.6808236
01-Aug-2011,1.7281061,1.531667,3.0483,1.7481411
01-Sep-2011,1.2848109,1.9418086,.60522169,1.8348405
01-Oct-2011,1.1834503,1.9048195,2.9558802,2.3256068
01-Nov-2011,1.7251787,1.9779594,1.4142079,3.3901551
01-Dec-2011,1.5190127,2.174,.89777541,1.418403
01-Jan-2012,1.5336347,2.5784147,2.1978908,1.7988523
01-Feb-2012,0,2.7300556,1.791332,2.2988653
01-Mar-2012,1.6713545,2.1639199,1.8027806,1.7094433
01-Apr-2012,.77476531,2.7398975,2.4692612,3.066009
01-May-2012,2.0389893,2.0619287,1.2071536,1.0233194
01-Jun-2012,1.9493777,2.9852962,1.9047406,1.8348405
01-Jul-2012,1.7839948,2.7597024,1.3237909,2.7354896
01-Aug-2012,.12492479,2.3065298,.66334522,1.3902907
01-Sep-2012,1.4533527,2.7844,2.4585485,3.278857
01-Oct-2012,1.444067,2.2176566,.96726835,3.8533678
01-Nov-2012,2.4405632,1.8622512,2.6316361,2.7389691
01-Dec-2012,2.1481843,2.6522169,2.5317807,2.1981931
01-Jan-2013,1.2889533,2.1394539,1.5266854,2.3908756
01-Feb-2013,1.4051718,1.7070167,3.9229515,2.9800985
01-Mar-2013,1.6529286,3.0685875,3.613905,1.7244521
01-Apr-2013,0,2.8737609,1.9802661,1.9423443
