date,WGT_q1_n,WGT_q2_n,WGT_q3_n,WGT_q4_n
01-Jan-1997,5563678.698822021,5495437.045715332,5593207.097351074,5663862.850280762
01-Feb-1997,5462492.069702148,5794613.423034668,5449693.713012695,5725573.58795166
01-Mar-1997,5869658.407562256,5577163.428955078,5674319.765991211,5928993.622436523
01-Apr-1997,5428019.586303711,5200751.634643555,5421381.89074707,5343375.725708008
01-May-1997,5581435.231079102,5808491.594238281,5514048.120361328,5944901.271972656
01-Jun-1997,5216398.024780273,5523341.052368164,5630940.548339844,5635503.077819824
01-Jul-1997,6036929.822875977,5941937.777099609,5900855.841308594,6030176.713745117
01-Aug-1997,5724099.858612061,5987037.845092773,5855649.421295166,6038068.260070801
01-Sep-1997,5851256.527404785,5688309.184356689,5599049.11932373,6053333.026855469
01-Oct-1997,5639128.898681641,5685237.788238525,5643184.341369629,5653377.603759766
01-Nov-1997,5509301.880828857,5413605.319946289,5663572.037963867,5937997.074707031
01-Dec-1997,5784055.014404297,5552477.467071533,5820563.321746826,6012104.538208008
01-Jan-1998,5922855.041748047,5840597.51184082,5850837.144165039,5869944.789794922
01-Feb-1998,6109128.084197998,5936864.005615234,6166754.367431641,6317602.802185059
01-Mar-1998,5744821.169433594,5727806.408203125,5919443.201049805,5939787.360473633
01-Apr-1998,5431525.089111328,5795059.61239624,5775173.799865723,6054368.807128906
01-May-1998,5439908.383972168,5469267.619812012,5513534.514038086,5609375.67590332
01-Jun-1998,5628209.547424316,5527906.215515137,5445221.650054932,5812093.321777344
01-Jul-1998,5156046.927124023,5435772.813110352,5421026.387939453,5794077.900634766
01-Aug-1998,5760933.874969482,5996199.727233887,5751765.827514648,5745859.208496094
01-Sep-1998,5594376.975219727,5595836.414672852,5631011.3046875,5820107.536499023
01-Oct-1998,5797961.717102051,5594218.792053223,5818258.377441406,5755647.619140625
01-Nov-1998,5628094.081604004,5872222.098510742,5669210.088012695,5796909.808166504
01-Dec-1998,5247076.4765625,5142706.815185547,5221461.597229004,5411097.262939453
01-Jan-1999,5708510.28692627,5351715.648864746,5409383.278259277,5334711.423339844
01-Feb-1999,5519464.846862793,5430904.332946777,5519472.008361816,5658716.488647461
01-Mar-1999,5561667.047851563,5826148.711761475,5830750.362182617,5714996.028930664
01-Apr-1999,5428232.151489258,5554426.409912109,5374451.884033203,5596968.480224609
01-May-1999,5369502.177185059,5324369.533508301,5462200.051025391,5682523.479736328
01-Jun-1999,5531269.94354248,5567834.3203125,5601572.886169434,5758434.915344238
01-Jul-1999,5424425.295043945,5465738.455627441,5327987.360778809,5512031.348327637
01-Aug-1999,5240768.9453125,5247729.185821533,5394500.220458984,5419770.099731445
01-Sep-1999,5512243.745727539,5381131.49206543,5532336.984832764,5586191.295227051
01-Oct-1999,5389267.560302734,5263236.903747559,5605802.44708252,5896645.132080078
01-Nov-1999,5514553.429443359,5342918.080932617,5548146.382568359,5795921.540893555
01-Dec-1999,5741842.509277344,5609723.472167969,5755098.959350586,6039175.461547852
